manager_name,manager_age,manager_avarage_time,manager_matches,manager_wins,manager_draws,manager_losses,manager_points,manager_ppm,manager_teams_coached,manager_avarage_ppm,manager_total_matches,manager_total_transfer,Name
Erik ten Hag,53,2.14 Years,62,42,8,12,134,2.16,11,0.9181818181818183,499,0,Man Utd
Unai Emery,51,1.97 Years,44,26,7,11,85,1.93,10,1.583,853,0,Aston Villa
David Wagner,51,1.70 Years,21,7,5,9,26,1.24,7,1.3242857142857143,471,0,Norwich
Jon Dahl Tomasson,46,0.97 Years,55,26,10,19,88,1.60,10,0.568,188,€15.60m,Blackburn
Gareth Ainsworth,50,2.08 Years,50,22,7,21,73,1.46,10,0.696,571,€3.79m,QPR
Jürgen Klopp,56,7.35 Years,52,27,11,14,92,1.77,4,1.365,1018,0,Liverpool
Darren Moore,49,1.63 Years,60,36,13,11,121,2.02,6,0.8416666666666667,255,€2.39m,Sheff Wed
Ryan Mason,32,0.19 Years,6,2,1,3,7,1.17,10,0.288,13,€15.40m,Tottenham
Pep Guardiola,52,3.75 Years,61,44,10,7,142,2.33,4,1.775,821,€651k,Man City
Mikel Arteta,41,3.52 Years,49,32,7,10,103,2.10,3,0.6366666666666666,179,€26.70m,Arsenal
Frank Lampard,45,0.95 Years,34,5,8,21,23,0.68,5,0.966,196,€16.00m,Chelsea
Mark Jackson,45,2.01 Years,25,6,9,10,27,1.08,8,0.48250000000000004,80,0,Wimbledon FC
Sean Dyche,51,3.22 Years,18,5,6,7,21,1.17,6,0.6466666666666666,492,€210k,Everton
Paul Heckingbottom,45,1.04 Years,53,32,8,13,104,1.96,6,1.0783333333333334,247,0,Sheff Utd
Mark Robins,53,2.30 Years,51,19,17,15,74,1.45,8,1.07625,710,€2.25m,Coventry
Kieran McKenna,37,1.78 Years,56,33,15,8,114,2.04,11,0.5627272727272726,133,0,Ipswich
Sam Allardyce,68,1.59 Years,4,0,1,3,1,0.25,18,0.8122222222222223,829,€298k,Leeds
Rubén Sellés,40,0.20 Years,18,3,4,11,13,0.72,24,0.2683333333333333,18,0,Southampton
David Unsworth,49,1.48 Years,38,13,11,14,50,1.32,14,0.5921428571428572,239,€9.20m,Oldham Athletic
Roy Hodgson,75,1.80 Years,10,5,3,2,18,1.80,24,1.3995833333333334,856,0,Crystal Palace
Michael Carrick,41,0.35 Years,33,18,5,10,59,1.79,4,1.03,36,€31.30m,Middlesbrough
Steve Cooper,43,2.00 Years,45,13,11,21,50,1.11,7,0.9900000000000001,273,0,Nottm Forest
