name,matches,wins,draws,losses,pts,goals,spectators,Name
Manchester United,38,25,7,6,2.16,73:35,35.960,Man Utd
Newcastle United,38,24,6,8,2.05,66:37,32.899,Newcastle
Liverpool FC,38,20,11,7,1.87,70:34,34.584,Liverpool
Aston Villa,38,18,9,11,1.66,52:35,29.941,Aston Villa
Arsenal FC,38,17,12,9,1.66,49:32,33.301,Arsenal
Everton FC,38,17,10,11,1.61,64:44,31.697,Everton
Blackburn Rovers,38,18,7,13,1.61,61:47,27.204,Blackburn
Tottenham Hotspur,38,16,13,9,1.61,50:38,29.642,Tottenham
Nottingham Forest,38,15,13,10,1.53,50:54,26.763,Nottm Forest
West Ham United,38,14,9,15,1.34,43:52,24.345,West Ham
Chelsea FC,38,12,14,12,1.32,46:44,26.963,Chelsea
Middlesbrough FC,38,11,10,17,1.13,35:50,28.040,Middlesbrough
Leeds United,38,12,7,19,1.13,40:57,30.152,Leeds
Milton Keynes Dons,38,10,11,17,1.08,55:70,18.909,Wimbledon FC
Sheffield Wednesday,38,10,10,18,1.05,48:61,25.807,Sheff Wed
Coventry City,38,8,14,16,1.00,42:60,22.467,Coventry
Southampton FC,38,9,11,18,1.00,34:52,20.885,Southampton
Manchester City,38,9,11,18,1.00,33:58,27.527,Man City
Queens Park Rangers,38,9,6,23,0.87,38:57,21.325,QPR
Bolton Wanderers,38,8,5,25,0.76,39:71,22.821,Bolton
