name,matches,wins,draws,losses,pts,goals,spectators,Name
Manchester United,38,23,11,4,2.11,78:37,54.736,Man Utd
Chelsea FC,38,21,8,9,1.87,69:33,38.240,Chelsea
Manchester City,38,21,8,9,1.87,60:33,40.413,Man City
Arsenal FC,38,19,11,8,1.79,72:43,47.350,Arsenal
Tottenham Hotspur,38,16,14,8,1.63,55:46,35.696,Tottenham
Liverpool FC,38,17,7,14,1.53,59:44,39.665,Liverpool
Everton FC,38,13,15,10,1.42,51:45,35.682,Everton
Fulham FC,38,11,16,11,1.29,49:43,30.252,Fulham
Aston Villa,38,12,12,14,1.26,48:59,35.911,Aston Villa
Sunderland AFC,38,12,11,15,1.24,45:56,37.347,Sunderland
West Bromwich Albion,38,12,11,15,1.24,56:71,30.304,West Brom
Newcastle United,38,11,13,14,1.21,56:57,41.574,Newcastle
Stoke City,38,13,7,18,1.21,46:48,30.631,Stoke City
Bolton Wanderers,38,12,10,16,1.21,52:56,28.915,Bolton
Blackburn Rovers,38,11,10,17,1.13,46:59,30.008,Blackburn
Wigan Athletic,38,9,15,14,1.11,40:61,26.119,Wigan
Wolverhampton Wanderers,38,11,7,20,1.05,46:66,31.670,Wolves
Birmingham City,38,8,15,15,1.03,37:58,30.397,Birmingham
Blackpool FC,38,10,9,19,1.03,55:78,26.376,Blackpool
West Ham United,38,7,12,19,0.87,43:70,34.247,West Ham
