name,matches,wins,draws,losses,pts,goals,spectators,Name
Chelsea FC,38,30,3,5,2.45,85:33,38.724,Chelsea
Tottenham Hotspur,38,26,8,4,2.26,86:26,33.912,Tottenham
Manchester City,38,23,9,6,2.05,80:39,44.486,Man City
Liverpool FC,38,22,10,6,2.00,78:42,44.423,Liverpool
Arsenal FC,38,23,6,9,1.97,77:44,47.481,Arsenal
Manchester United,38,18,15,5,1.82,54:29,54.905,Man Utd
Everton FC,38,17,10,11,1.61,62:44,37.470,Everton
Southampton FC,38,12,10,16,1.21,41:48,33.304,Southampton
AFC Bournemouth,38,12,10,16,1.21,55:67,23.961,Bournemouth
West Bromwich Albion,38,12,9,17,1.18,43:51,29.975,West Brom
West Ham United,38,12,9,17,1.18,47:64,45.864,West Ham
Leicester City,38,12,8,18,1.16,48:63,33.934,Leicester
Stoke City,38,11,11,16,1.16,41:56,31.790,Stoke City
Crystal Palace,38,12,5,21,1.08,50:63,30.529,Crystal Palace
Swansea City,38,12,5,21,1.08,45:70,28.263,Swansea
Burnley FC,38,11,7,20,1.05,39:55,28.491,Burnley
Watford FC,38,11,7,20,1.05,40:68,28.322,Watford
Hull City,38,9,7,22,0.89,37:80,28.476,Hull City
Middlesbrough FC,38,5,13,20,0.74,27:53,33.314,Middlesbrough
Sunderland AFC,38,6,6,26,0.63,29:69,38.479,Sunderland
