name,matches,wins,draws,losses,pts,goals,spectators,Name
Manchester City,38,27,5,6,2.26,83:32,525,Man City
Manchester United,38,21,11,6,1.95,73:44,316,Man Utd
Liverpool FC,38,20,9,9,1.82,68:42,566,Liverpool
Chelsea FC,38,19,10,9,1.76,58:36,295,Chelsea
Leicester City,38,20,6,12,1.74,68:50,400,Leicester
West Ham United,38,19,8,11,1.71,62:47,457,West Ham
Tottenham Hotspur,38,18,8,12,1.63,68:45,632,Tottenham
Arsenal FC,38,18,7,13,1.61,55:39,539,Arsenal
Leeds United,38,18,5,15,1.55,62:54,263,Leeds
Everton FC,38,17,8,13,1.55,47:48,528,Everton
Aston Villa,38,16,7,15,1.45,55:46,263,Aston Villa
Newcastle United,38,12,9,17,1.18,46:62,316,Newcastle
Wolverhampton Wanderers,38,12,9,17,1.18,36:52,212,Wolves
Crystal Palace,38,12,8,18,1.16,41:66,487,Crystal Palace
Southampton FC,38,12,7,19,1.13,47:68,421,Southampton
Brighton & Hove Albion,38,9,14,15,1.08,40:46,578,Brighton
Burnley FC,38,10,9,19,1.03,33:55,226,Burnley
Fulham FC,38,5,13,20,0.74,27:53,368,Fulham
West Bromwich Albion,38,5,11,22,0.68,35:76,405,West Brom
Sheffield United,38,7,2,29,0.61,20:63,503,Sheff Utd
