Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position
Blackburn,42,27,8,7,80:39,41,89,1
Man Utd,42,26,10,6,77:28,49,88,2
Nottm Forest,42,22,11,9,72:43,29,77,3
Liverpool,42,21,11,10,65:37,28,74,4
Leeds,42,20,13,9,59:38,21,73,5
Newcastle,42,20,12,10,67:47,20,72,6
Tottenham,42,16,14,12,66:58,8,62,7
QPR,42,17,9,16,61:59,2,60,8
Wimbledon FC,42,15,11,16,48:65,-17,56,9
Southampton,42,12,18,12,61:63,-2,54,10
Chelsea,42,13,15,14,50:55,-5,54,11
Arsenal,42,13,12,17,52:49,3,51,12
Sheff Wed,42,13,12,17,49:57,-8,51,13
West Ham,42,13,11,18,44:48,-4,50,14
Everton,42,11,17,14,44:51,-7,50,15
Coventry,42,12,14,16,44:62,-18,50,16
Man City,42,12,13,17,53:64,-11,49,17
Aston Villa,42,11,15,16,51:56,-5,48,18
Crystal Palace,42,11,12,19,34:49,-15,45,19
Norwich,42,10,13,19,37:54,-17,43,20
