Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position
Man Utd,38,23,11,4,78:37,41,80,1
Chelsea,38,21,8,9,69:33,36,71,2
Man City,38,21,8,9,60:33,27,71,3
Arsenal,38,19,11,8,72:43,29,68,4
Tottenham,38,16,14,8,55:46,9,62,5
Liverpool,38,17,7,14,59:44,15,58,6
Everton,38,13,15,10,51:45,6,54,7
Fulham,38,11,16,11,49:43,6,49,8
Aston Villa,38,12,12,14,48:59,-11,48,9
Sunderland,38,12,11,15,45:56,-11,47,10
West Brom,38,12,11,15,56:71,-15,47,11
Newcastle,38,11,13,14,56:57,-1,46,12
Stoke City,38,13,7,18,46:48,-2,46,13
Bolton,38,12,10,16,52:56,-4,46,14
Blackburn,38,11,10,17,46:59,-13,43,15
Wigan,38,9,15,14,40:61,-21,42,16
Wolves,38,11,7,20,46:66,-20,40,17
Birmingham,38,8,15,15,37:58,-21,39,18
Blackpool,38,10,9,19,55:78,-23,39,19
West Ham,38,7,12,19,43:70,-27,33,20
