Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position
Man Utd,42,24,12,6,67:31,36,84,1
Aston Villa,42,21,11,10,57:40,17,74,2
Norwich,42,21,9,12,61:65,-4,72,3
Blackburn,42,20,11,11,68:46,22,71,4
QPR,42,17,12,13,63:55,8,63,5
Liverpool,42,16,11,15,62:55,7,59,6
Sheff Wed,42,15,14,13,55:51,4,59,7
Tottenham,42,16,11,15,60:66,-6,59,8
Man City,42,15,12,15,56:51,5,57,9
Arsenal,42,15,11,16,40:38,2,56,10
Chelsea,42,14,14,14,51:54,-3,56,11
Wimbledon FC,42,14,12,16,56:55,1,54,12
Everton,42,15,8,19,53:55,-2,53,13
Sheff Utd,42,14,10,18,54:53,1,52,14
Coventry,42,13,13,16,52:57,-5,52,15
Ipswich,42,12,16,14,50:55,-5,52,16
Leeds,42,12,15,15,57:62,-5,51,17
Southampton,42,13,11,18,54:61,-7,50,18
Oldham Athletic,42,13,10,19,63:74,-11,49,19
Crystal Palace,42,11,16,15,48:61,-13,49,20
