Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position
Man Utd,42,27,11,4,80:38,42,92,1
Blackburn,42,25,9,8,63:36,27,84,2
Newcastle,42,23,8,11,82:41,41,77,3
Arsenal,42,18,17,7,53:28,25,71,4
Leeds,42,18,16,8,65:39,26,70,5
Wimbledon FC,42,18,11,13,56:53,3,65,6
Sheff Wed,42,16,16,10,76:54,22,64,7
Liverpool,42,17,9,16,59:55,4,60,8
QPR,42,16,12,14,62:61,1,60,9
Aston Villa,42,15,12,15,46:50,-4,57,10
Coventry,42,14,14,14,43:45,-2,56,11
Norwich,42,12,17,13,65:61,4,53,12
West Ham,42,13,13,16,47:58,-11,52,13
Chelsea,42,13,12,17,49:53,-4,51,14
Tottenham,42,11,12,19,54:59,-5,45,15
Man City,42,9,18,15,38:49,-11,45,16
Everton,42,12,8,22,42:63,-21,44,17
Southampton,42,12,7,23,49:66,-17,43,18
Ipswich,42,9,16,17,35:58,-23,43,19
Sheff Utd,42,8,18,16,42:60,-18,42,20
