Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position
Man Utd,38,24,8,6,79:31,48,80,1
Arsenal,38,20,10,8,63:38,25,70,2
Liverpool,38,20,9,9,71:39,32,69,3
Leeds,38,20,8,10,64:43,21,68,4
Ipswich,38,20,6,12,57:42,15,66,5
Chelsea,38,17,10,11,68:45,23,61,6
Sunderland,38,15,12,11,46:41,5,57,7
Aston Villa,38,13,15,10,46:43,3,54,8
Charlton,38,14,10,14,50:57,-7,52,9
Southampton,38,14,10,14,40:48,-8,52,10
Newcastle,38,14,9,15,44:50,-6,51,11
Tottenham,38,13,10,15,47:54,-7,49,12
Leicester,38,14,6,18,39:51,-12,48,13
Middlesbrough,38,9,15,14,44:44,0,42,14
West Ham,38,10,12,16,45:50,-5,42,15
Everton,38,11,9,18,45:59,-14,42,16
Derby,38,10,12,16,37:59,-22,42,17
Man City,38,8,10,20,41:65,-24,34,18
Coventry,38,8,10,20,36:63,-27,34,19
Bradford,38,5,11,22,30:70,-40,26,20
