name,matches,wins,draws,losses,pts,goals,spectators,Name
Manchester United,38,27,6,5,2.29,80:22,55.953,Man Utd
Chelsea FC,38,25,10,3,2.24,65:26,38.731,Chelsea
Arsenal FC,38,24,11,3,2.18,74:31,48.001,Arsenal
Liverpool FC,38,21,13,4,2.00,67:28,40.721,Liverpool
Everton FC,38,19,8,11,1.71,55:33,36.570,Everton
Aston Villa,38,16,12,10,1.58,71:51,37.895,Aston Villa
Blackburn Rovers,38,15,13,10,1.53,50:48,29.875,Blackburn
Portsmouth FC,38,16,9,13,1.50,48:40,27.542,Portsmouth
Manchester City,38,15,10,13,1.45,45:53,39.157,Man City
West Ham United,38,13,10,15,1.29,42:50,35.386,West Ham
Tottenham Hotspur,38,11,13,14,1.21,66:61,36.049,Tottenham
Newcastle United,38,11,10,17,1.13,45:65,43.921,Newcastle
Middlesbrough FC,38,10,12,16,1.11,43:53,31.028,Middlesbrough
Wigan Athletic,38,10,10,18,1.05,34:51,27.646,Wigan
Sunderland AFC,38,11,6,21,1.03,36:59,39.832,Sunderland
Bolton Wanderers,38,9,10,19,0.97,36:54,28.537,Bolton
Fulham FC,38,8,12,18,0.95,38:60,29.919,Fulham
Reading FC,38,10,6,22,0.95,41:66,29.666,Reading
Birmingham City,38,8,11,19,0.92,46:62,31.068,Birmingham
Derby County,38,1,8,29,0.29,20:89,34.394,Derby
