name,matches,wins,draws,losses,pts,goals,spectators,Name
Manchester United,38,25,8,5,2.18,74:34,51.639,Man Utd
Arsenal FC,38,23,9,6,2.05,85:42,37.347,Arsenal
Newcastle United,38,21,6,11,1.82,63:48,43.736,Newcastle
Chelsea FC,38,19,10,9,1.76,68:38,37.631,Chelsea
Liverpool FC,38,18,10,10,1.68,61:41,39.765,Liverpool
Blackburn Rovers,38,16,12,10,1.58,52:43,30.586,Blackburn
Everton FC,38,17,8,13,1.55,48:49,36.868,Everton
Southampton FC,38,13,13,12,1.37,43:46,32.366,Southampton
Manchester City,38,15,6,17,1.34,47:54,35.272,Man City
Tottenham Hotspur,38,14,8,16,1.32,51:62,35.904,Tottenham
Middlesbrough FC,38,13,10,15,1.29,48:44,33.055,Middlesbrough
Charlton Athletic,38,14,7,17,1.29,45:56,30.182,Charlton
Birmingham City,38,13,9,16,1.26,41:49,32.252,Birmingham
Fulham FC,38,13,9,16,1.26,41:50,25.696,Fulham
Leeds United,38,14,5,19,1.24,58:57,37.321,Leeds
Aston Villa,38,12,9,17,1.18,42:47,35.103,Aston Villa
Bolton Wanderers,38,10,14,14,1.16,41:51,30.458,Bolton
West Ham United,38,10,12,16,1.11,42:59,35.090,West Ham
West Bromwich Albion,38,6,8,24,0.68,29:65,31.504,West Brom
Sunderland AFC,38,4,7,27,0.50,21:65,37.523,Sunderland
