name,matches,wins,draws,losses,pts,goals,spectators,Name
Liverpool FC,38,32,3,3,2.61,85:33,34.438,Liverpool
Manchester City,38,26,3,9,2.13,102:35,34.792,Man City
Manchester United,38,18,12,8,1.74,66:36,42.746,Man Utd
Chelsea FC,38,20,6,12,1.74,69:54,30.388,Chelsea
Leicester City,38,18,8,12,1.63,67:41,27.636,Leicester
Tottenham Hotspur,38,16,11,11,1.55,61:47,38.115,Tottenham
Wolverhampton Wanderers,38,15,14,9,1.55,51:40,27.158,Wolves
Arsenal FC,38,14,14,10,1.47,56:48,36.482,Arsenal
Sheffield United,38,14,12,12,1.42,39:39,25.711,Sheff Utd
Burnley FC,38,15,9,14,1.42,43:50,22.322,Burnley
Southampton FC,38,15,7,16,1.37,51:60,26.963,Southampton
Everton FC,38,13,10,15,1.29,44:56,30.101,Everton
Newcastle United,38,11,11,16,1.16,38:58,34.137,Newcastle
Crystal Palace,38,11,10,17,1.13,31:50,25.452,Crystal Palace
Brighton & Hove Albion,38,9,14,15,1.08,39:54,28.030,Brighton
West Ham United,38,10,9,19,1.03,49:62,35.647,West Ham
Aston Villa,38,9,8,21,0.92,41:67,28.709,Aston Villa
AFC Bournemouth,38,9,7,22,0.89,40:65,18.892,Bournemouth
Watford FC,38,8,10,20,0.89,36:64,22.855,Watford
Norwich City,38,5,6,27,0.55,26:75,25.361,Norwich
