name,matches,wins,draws,losses,pts,goals,spectators,Name
Manchester United,42,24,12,6,2.00,67:31,31.693,Man Utd
Aston Villa,42,21,11,10,1.76,57:40,26.069,Aston Villa
Norwich City,42,21,9,12,1.71,61:65,18.590,Norwich
Blackburn Rovers,42,20,11,11,1.69,68:46,19.330,Blackburn
Queens Park Rangers,42,17,12,13,1.50,63:55,17.494,QPR
Liverpool FC,42,16,11,15,1.40,62:55,30.466,Liverpool
Sheffield Wednesday,42,15,14,13,1.40,55:51,24.297,Sheff Wed
Tottenham Hotspur,42,16,11,15,1.40,60:66,25.197,Tottenham
Manchester City,42,15,12,15,1.36,56:51,22.819,Man City
Arsenal FC,42,15,11,16,1.33,40:38,23.361,Arsenal
Chelsea FC,42,14,14,14,1.33,51:54,19.944,Chelsea
Milton Keynes Dons,42,14,12,16,1.29,56:55,13.534,Wimbledon FC
Everton FC,42,15,8,19,1.26,53:55,20.530,Everton
Sheffield United,42,14,10,18,1.24,54:53,19.343,Sheff Utd
Coventry City,42,13,13,16,1.24,52:57,17.199,Coventry
Ipswich Town,42,12,16,14,1.24,50:55,18.876,Ipswich
Leeds United,42,12,15,15,1.21,57:62,25.621,Leeds
Southampton FC,42,13,11,18,1.19,54:61,16.590,Southampton
Oldham Athletic,42,13,10,19,1.17,63:74,16.464,Oldham Athletic
Crystal Palace,42,11,16,15,1.17,48:61,17.705,Crystal Palace
Middlesbrough FC,42,11,11,20,1.05,54:75,18.038,Middlesbrough
Nottingham Forest,42,10,10,22,0.95,41:62,21.714,Nottm Forest
