name,matches,wins,draws,losses,pts,goals,spectators,Name
Manchester City,38,29,6,3,2.45,99:26,44.011,Man City
Liverpool FC,38,28,8,2,2.42,94:26,45.958,Liverpool
Chelsea FC,38,21,11,6,1.95,76:33,36.753,Chelsea
Tottenham Hotspur,38,22,5,11,1.87,69:40,47.762,Tottenham
Arsenal FC,38,22,3,13,1.82,61:48,49.383,Arsenal
Manchester United,38,16,10,12,1.53,57:57,54.894,Man Utd
West Ham United,38,16,8,14,1.47,60:51,47.743,West Ham
Leicester City,38,14,10,14,1.37,62:59,35.803,Leicester
Brighton & Hove Albion,38,12,15,11,1.34,42:44,35.500,Brighton
Wolverhampton Wanderers,38,15,6,17,1.34,38:43,33.587,Wolves
Newcastle United,38,13,10,15,1.29,44:62,45.458,Newcastle
Crystal Palace,38,11,15,12,1.26,50:46,30.398,Crystal Palace
Brentford FC,38,13,7,18,1.21,48:56,27.968,Brentford
Aston Villa,38,13,6,19,1.18,52:54,37.911,Aston Villa
Southampton FC,38,9,13,16,1.05,43:67,31.190,Southampton
Everton FC,38,11,6,21,1.03,43:66,38.790,Everton
Leeds United,38,9,11,18,1.00,42:79,35.332,Leeds
Burnley FC,38,7,14,17,0.92,34:53,29.554,Burnley
Watford FC,38,6,5,27,0.61,34:77,28.578,Watford
Norwich City,38,5,7,26,0.58,23:84,31.454,Norwich
