name,matches,wins,draws,losses,pts,goals,spectators,Name
Manchester United,38,28,7,3,2.39,97:45,45.033,Man Utd
Arsenal FC,38,22,7,9,1.92,73:43,34.781,Arsenal
Leeds United,38,21,6,11,1.82,58:43,35.027,Leeds
Liverpool FC,38,19,10,9,1.76,51:30,38.429,Liverpool
Chelsea FC,38,18,11,9,1.71,53:34,33.035,Chelsea
Aston Villa,38,15,13,10,1.53,46:35,31.101,Aston Villa
Sunderland AFC,38,16,10,12,1.53,57:56,36.404,Sunderland
Leicester City,38,16,7,15,1.45,55:55,25.068,Leicester
West Ham United,38,15,10,13,1.45,52:53,28.091,West Ham
Tottenham Hotspur,38,15,8,15,1.39,57:49,33.239,Tottenham
Newcastle United,38,14,10,14,1.37,63:54,33.782,Newcastle
Middlesbrough FC,38,14,10,14,1.37,46:52,31.459,Middlesbrough
Everton FC,38,12,14,12,1.32,59:49,32.312,Everton
Coventry City,38,12,8,18,1.16,47:54,25.771,Coventry
Southampton FC,38,12,8,18,1.16,45:62,22.877,Southampton
Derby County,38,9,11,18,1.00,44:57,29.624,Derby
Bradford City,38,9,9,20,0.95,38:68,24.105,Bradford
Milton Keynes Dons,38,7,12,19,0.87,46:74,23.539,Wimbledon FC
Sheffield Wednesday,38,8,7,23,0.82,38:70,27.129,Sheff Wed
Watford FC,38,6,6,26,0.63,35:77,24.409,Watford
