name,matches,wins,draws,losses,pts,goals,spectators,Name
Leicester City,38,23,12,3,2.13,68:36,34.512,Leicester
Arsenal FC,38,20,11,7,1.87,65:36,47.739,Arsenal
Tottenham Hotspur,38,19,13,6,1.84,69:35,36.228,Tottenham
Manchester City,38,19,9,10,1.74,71:41,44.685,Man City
Manchester United,38,19,9,10,1.74,49:35,55.120,Man Utd
Southampton FC,38,18,9,11,1.66,59:41,33.575,Southampton
West Ham United,38,16,14,8,1.63,65:51,35.839,West Ham
Liverpool FC,38,16,12,10,1.58,63:50,40.303,Liverpool
Stoke City,38,14,9,15,1.34,41:55,32.030,Stoke City
Chelsea FC,38,12,14,12,1.32,59:53,38.866,Chelsea
Everton FC,38,11,14,13,1.24,59:55,37.264,Everton
Swansea City,38,12,11,15,1.24,42:52,28.700,Swansea
Watford FC,38,12,9,17,1.18,40:50,28.881,Watford
West Bromwich Albion,38,10,13,15,1.13,34:48,30.889,West Brom
Crystal Palace,38,11,9,18,1.11,39:51,30.720,Crystal Palace
AFC Bournemouth,38,11,9,18,1.11,45:67,24.521,Bournemouth
Sunderland AFC,38,9,12,17,1.03,48:62,39.697,Sunderland
Newcastle United,38,9,10,19,0.97,44:65,42.845,Newcastle
Norwich City,38,9,7,22,0.89,39:67,31.732,Norwich
Aston Villa,38,3,8,27,0.45,27:76,35.082,Aston Villa
