name,matches,wins,draws,losses,pts,goals,spectators,Name
Chelsea FC,38,29,4,5,2.39,72:22,38.110,Chelsea
Manchester United,38,25,8,5,2.18,72:34,51.301,Man Utd
Liverpool FC,38,25,7,6,2.16,57:25,39.830,Liverpool
Arsenal FC,38,20,7,11,1.76,68:31,36.619,Arsenal
Tottenham Hotspur,38,18,11,9,1.71,53:38,35.176,Tottenham
Blackburn Rovers,38,19,6,13,1.66,51:42,27.450,Blackburn
Newcastle United,38,17,7,14,1.53,47:42,42.943,Newcastle
Bolton Wanderers,38,15,11,12,1.47,49:41,29.328,Bolton
West Ham United,38,16,7,15,1.45,52:55,33.633,West Ham
Wigan Athletic,38,15,6,17,1.34,45:52,27.292,Wigan
Everton FC,38,14,8,16,1.32,34:49,35.155,Everton
Fulham FC,38,14,6,18,1.26,48:58,26.835,Fulham
Charlton Athletic,38,13,8,17,1.24,41:55,29.741,Charlton
Middlesbrough FC,38,12,9,17,1.18,48:58,30.790,Middlesbrough
Manchester City,38,13,4,21,1.13,43:48,38.191,Man City
Aston Villa,38,10,12,16,1.11,42:55,33.965,Aston Villa
Portsmouth FC,38,10,8,20,1.00,37:62,27.018,Portsmouth
Birmingham City,38,8,10,20,0.89,28:50,30.484,Birmingham
West Bromwich Albion,38,7,9,22,0.79,31:58,29.722,West Brom
Sunderland AFC,38,3,6,29,0.39,26:69,33.922,Sunderland
