name,matches,wins,draws,losses,pts,goals,spectators,Name
Manchester United,42,27,11,4,2.19,80:38,36.556,Man Utd
Blackburn Rovers,42,25,9,8,2.00,63:36,21.344,Blackburn
Newcastle United,42,23,8,11,1.83,82:41,29.862,Newcastle
Arsenal FC,42,18,17,7,1.69,53:28,26.979,Arsenal
Leeds United,42,18,16,8,1.67,65:39,28.724,Leeds
Milton Keynes Dons,42,18,11,13,1.55,56:53,15.374,Wimbledon FC
Sheffield Wednesday,42,16,16,10,1.52,76:54,24.377,Sheff Wed
Liverpool FC,42,17,9,16,1.43,59:55,33.003,Liverpool
Queens Park Rangers,42,16,12,14,1.43,62:61,18.082,QPR
Aston Villa,42,15,12,15,1.36,46:50,25.919,Aston Villa
Coventry City,42,14,14,14,1.33,43:45,17.183,Coventry
Norwich City,42,12,17,13,1.26,65:61,20.511,Norwich
West Ham United,42,13,13,16,1.24,47:58,22.030,West Ham
Chelsea FC,42,13,12,17,1.21,49:53,21.178,Chelsea
Tottenham Hotspur,42,11,12,19,1.07,54:59,25.963,Tottenham
Manchester City,42,9,18,15,1.07,38:49,24.237,Man City
Everton FC,42,12,8,22,1.05,42:63,22.915,Everton
Southampton FC,42,12,7,23,1.02,49:66,17.763,Southampton
Ipswich Town,42,9,16,17,1.02,35:58,18.552,Ipswich
Sheffield United,42,8,18,16,1.00,42:60,20.725,Sheff Utd
Oldham Athletic,42,9,13,20,0.95,42:68,16.356,Oldham Athletic
Swindon Town,42,5,15,22,0.71,47:100,18.603,Swindon Town
