name,matches,wins,draws,losses,pts,goals,spectators,Name
Arsenal FC,38,23,9,6,2.05,68:33,34.328,Arsenal
Manchester United,38,23,8,7,2.03,73:26,42.789,Man Utd
Liverpool FC,38,18,11,9,1.71,68:42,35.874,Liverpool
Chelsea FC,38,20,3,15,1.66,71:43,31.586,Chelsea
Leeds United,38,17,8,13,1.55,57:46,31.988,Leeds
Blackburn Rovers,38,16,10,12,1.53,57:52,27.293,Blackburn
Aston Villa,38,17,6,15,1.50,49:48,32.451,Aston Villa
West Ham United,38,16,8,14,1.47,56:57,27.280,West Ham
Derby County,38,16,7,15,1.45,52:49,28.483,Derby
Leicester City,38,13,14,11,1.39,51:41,24.538,Leicester
Coventry City,38,12,16,10,1.37,46:44,24.404,Coventry
Southampton FC,38,14,6,18,1.26,50:55,22.009,Southampton
Newcastle United,38,11,11,16,1.16,35:44,33.568,Newcastle
Tottenham Hotspur,38,11,11,16,1.16,44:56,29.684,Tottenham
Milton Keynes Dons,22,7,6,9,1.23,23:29,20.026,Wimbledon FC
Sheffield Wednesday,38,12,8,18,1.16,52:67,28.041,Sheff Wed
Everton FC,38,9,13,16,1.05,41:56,32.257,Everton
Bolton Wanderers,38,9,13,16,1.05,41:61,26.627,Bolton
Barnsley FC,38,10,5,23,0.92,37:82,23.651,Barnsley FC
Crystal Palace,38,8,9,21,0.87,37:71,25.042,Crystal Palace
