name,matches,wins,draws,losses,pts,goals,spectators,Name
Manchester United,38,21,12,5,1.97,76:44,42.642,Man Utd
Newcastle United,38,19,11,8,1.79,73:40,33.404,Newcastle
Arsenal FC,38,19,11,8,1.79,62:32,33.411,Arsenal
Liverpool FC,38,19,11,8,1.79,62:37,35.220,Liverpool
Aston Villa,38,17,10,11,1.61,47:34,31.899,Aston Villa
Chelsea FC,38,16,11,11,1.55,58:55,28.620,Chelsea
Sheffield Wednesday,38,14,15,9,1.50,50:51,26.388,Sheff Wed
Milton Keynes Dons,38,15,11,12,1.47,49:46,21.444,Wimbledon FC
Leicester City,38,12,11,15,1.24,46:54,23.803,Leicester
Tottenham Hotspur,38,13,7,18,1.21,44:51,30.019,Tottenham
Leeds United,38,11,13,14,1.21,28:38,30.149,Leeds
Derby County,38,11,13,14,1.21,45:58,23.088,Derby
Blackburn Rovers,38,9,15,14,1.11,42:43,25.773,Blackburn
West Ham United,38,10,12,16,1.11,39:48,25.880,West Ham
Everton FC,38,10,12,16,1.11,44:57,32.132,Everton
Southampton FC,38,10,11,17,1.08,50:56,21.452,Southampton
Coventry City,38,9,14,15,1.08,38:54,23.735,Coventry
Sunderland AFC,38,10,10,18,1.05,35:53,24.735,Sunderland
Middlesbrough FC,38,10,12,16,1.11,51:60,29.600,Middlesbrough
Nottingham Forest,38,6,16,16,0.89,31:59,25.981,Nottm Forest
