name,matches,wins,draws,losses,pts,goals,spectators,Name
Blackburn Rovers,42,27,8,7,2.12,80:39,25.603,Blackburn
Manchester United,42,26,10,6,2.10,77:28,35.266,Man Utd
Nottingham Forest,42,22,11,9,1.83,72:43,24.223,Nottm Forest
Liverpool FC,42,21,11,10,1.76,65:37,30.930,Liverpool
Leeds United,42,20,13,9,1.74,59:38,28.698,Leeds
Newcastle United,42,20,12,10,1.71,67:47,30.089,Newcastle
Tottenham Hotspur,42,16,14,12,1.48,66:58,27.565,Tottenham
Queens Park Rangers,42,17,9,16,1.43,61:59,19.190,QPR
Milton Keynes Dons,42,15,11,16,1.33,48:65,16.256,Wimbledon FC
Southampton FC,42,12,18,12,1.29,61:63,18.954,Southampton
Chelsea FC,42,13,15,14,1.29,50:55,22.690,Chelsea
Arsenal FC,42,13,12,17,1.21,52:49,29.769,Arsenal
Sheffield Wednesday,42,13,12,17,1.21,49:57,24.568,Sheff Wed
West Ham United,42,13,11,18,1.19,44:48,22.113,West Ham
Everton FC,42,11,17,14,1.19,44:51,27.942,Everton
Coventry City,42,12,14,16,1.19,44:62,19.044,Coventry
Manchester City,42,12,13,17,1.17,53:64,23.370,Man City
Aston Villa,42,11,15,16,1.14,51:56,26.465,Aston Villa
Crystal Palace,42,11,12,19,1.07,34:49,18.735,Crystal Palace
Norwich City,42,10,13,19,1.02,37:54,20.921,Norwich
Leicester City,42,6,11,25,0.69,45:80,21.432,Leicester
Ipswich Town,42,7,6,29,0.64,36:93,19.551,Ipswich
