Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position
Man Utd,38,21,12,5,76:44,32,75,1
Newcastle,38,19,11,8,73:40,33,68,2
Arsenal,38,19,11,8,62:32,30,68,3
Liverpool,38,19,11,8,62:37,25,68,4
Aston Villa,38,17,10,11,47:34,13,61,5
Chelsea,38,16,11,11,58:55,3,59,6
Sheff Wed,38,14,15,9,50:51,-1,57,7
Wimbledon FC,38,15,11,12,49:46,3,56,8
Leicester,38,12,11,15,46:54,-8,47,9
Tottenham,38,13,7,18,44:51,-7,46,10
Leeds,38,11,13,14,28:38,-10,46,11
Derby,38,11,13,14,45:58,-13,46,12
Blackburn,38,9,15,14,42:43,-1,42,13
West Ham,38,10,12,16,39:48,-9,42,14
Everton,38,10,12,16,44:57,-13,42,15
Southampton,38,10,11,17,50:56,-6,41,16
Coventry,38,9,14,15,38:54,-16,41,17
Sunderland,38,10,10,18,35:53,-18,40,18
Middlesbrough,38,10,12,16,51:60,-9,39,19
Nottm Forest,38,6,16,16,31:59,-28,34,20
