Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position
Man Utd,38,22,13,3,80:37,43,79,1
Arsenal,38,22,12,4,59:17,42,78,2
Chelsea,38,20,15,3,57:30,27,75,3
Leeds,38,18,13,7,62:34,28,67,4
West Ham,38,16,9,13,46:53,-7,57,5
Aston Villa,38,15,10,13,51:46,5,55,6
Liverpool,38,15,9,14,68:49,19,54,7
Derby,38,13,13,12,40:45,-5,52,8
Middlesbrough,38,12,15,11,48:54,-6,51,9
Leicester,38,12,13,13,40:46,-6,49,10
Tottenham,38,11,14,13,47:50,-3,47,11
Sheff Wed,38,13,7,18,41:42,-1,46,12
Newcastle,38,11,13,14,48:54,-6,46,13
Everton,38,11,10,17,42:47,-5,43,14
Coventry,38,11,9,18,39:51,-12,42,15
Wimbledon FC,38,10,12,16,40:63,-23,42,16
Southampton,38,11,8,19,37:64,-27,41,17
Charlton,38,8,12,18,41:56,-15,36,18
Blackburn,38,7,14,17,38:52,-14,35,19
Nottm Forest,38,7,9,22,35:69,-34,30,20
