Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position
Arsenal,38,26,9,3,79:36,43,87,1
Liverpool,38,24,8,6,67:30,37,80,2
Man Utd,38,24,5,9,87:45,42,77,3
Newcastle,38,21,8,9,74:52,22,71,4
Leeds,38,18,12,8,53:37,16,66,5
Chelsea,38,17,13,8,66:38,28,64,6
West Ham,38,15,8,15,48:57,-9,53,7
Aston Villa,38,12,14,12,46:47,-1,50,8
Tottenham,38,14,8,16,49:53,-4,50,9
Blackburn,38,12,10,16,55:51,4,46,10
Southampton,38,12,9,17,46:54,-8,45,11
Middlesbrough,38,12,9,17,35:47,-12,45,12
Fulham,38,10,14,14,36:44,-8,44,13
Charlton,38,10,14,14,38:49,-11,44,14
Everton,38,11,10,17,45:57,-12,43,15
Bolton,38,9,13,16,44:62,-18,40,16
Sunderland,38,10,10,18,29:51,-22,40,17
Ipswich,38,9,9,20,41:64,-23,36,18
Derby,38,8,6,24,33:63,-30,30,19
Leicester,38,5,13,20,30:64,-34,28,20
