Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position,name,matches,wins,draws,losses,pts,goals,spectators,gk_oage,defense_oage,attack_oage,gk_mkt,defense_mkt,attack_mkt,gk_omkt,defense_omkt,attack_omkt,total_oage,total_mkt,total_omkt,income,expenditure,balance,arrival_sum,arrival_age,arrival_mkt,derpature_sum,derpature_age,derpature_mkt,manager_name,manager_age,manager_avarage_time,manager_matches,manager_wins,manager_draws,manager_losses,manager_points,manager_ppm,manager_teams_coached,manager_avarage_ppm,manager_total_matches,manager_total_transfer
Chelsea,38,27,5,6,103:32,71,86,1,Chelsea FC,38,25,8,5,2.18,68:24,38.826,27.25,26.27,24.70,€40.50m,€281.20m,€323.00m,€10.13m,€25.56m,€32.30m,25.67,€927.70m,€28.11m,€67.83m,€611.49m,€-543.66m,€611.49m,23.0,€551.80m,€67.83m,25.5,€391.30m,Frank Lampard,45,0.95 Years,34,5,8,21,23,0.68,5,0.966,196,€16.00m
Man Utd,38,27,4,7,86:28,58,85,2,Manchester United,38,28,6,4,2.37,68:24,55.347,31.25,25.46,22.55,€33.00m,€274.00m,€283.00m,€8.25m,€21.08m,€25.73m,25.34,€814.80m,€21.44m,€13.25m,€243.28m,€-230.03m,€243.28m,23.6,€282.60m,€13.25m,27.8,€187.75m,Erik ten Hag,53,2.14 Years,62,42,8,12,134,2.16,11,0.9181818181818183,499,0
Arsenal,38,23,6,9,83:41,42,75,3,Arsenal FC,38,20,12,6,1.89,68:37,47.567,26.50,24.67,23.43,€48.00m,€310.00m,€359.00m,€24.00m,€34.44m,€51.29m,25.07,€976.00m,€36.15m,€23.80m,€192.36m,€-168.56m,€192.36m,24.2,€367.70m,€23.80m,25.4,€195.20m,Mikel Arteta,41,3.50 Years,49,32,7,10,103,2.10,3,0.6366666666666666,179,€26.70m
Tottenham,38,21,7,10,67:41,26,70,4,Tottenham Hotspur,38,14,9,15,1.34,45:45,35.827,29.75,26.25,27.33,€5.30m,€185.00m,€269.00m,€1.33m,€23.13m,€44.83m,26.80,€617.30m,€24.69m,€38.75m,€177.90m,€-139.15m,€177.90m,24.7,€325.50m,€38.75m,24.2,€240.50m,Ryan Mason,32,0.19 Years,6,2,1,3,7,1.17,10,0.288,13,€15.40m
Man City,38,18,13,7,73:45,28,67,5,Manchester City,38,15,5,18,1.32,58:50,39.001,31.00,26.67,25.40,€52.70m,€271.00m,€445.00m,€13.18m,€30.11m,€89.00m,27.08,€1.09bn,€43.43m,€162.17m,€150.50m,+€11.67m,€150.50m,22.9,€363.15m,€162.17m,24.1,€295.65m,Pep Guardiola,52,3.75 Years,61,44,10,7,142,2.33,4,1.775,821,€651k
Aston Villa,38,17,13,8,52:39,13,64,6,Aston Villa,38,17,11,10,1.63,54:48,37.328,28.50,29.00,24.67,€30.50m,€132.80m,€147.80m,€7.63m,€14.76m,€16.42m,26.59,€474.10m,€16.35m,€54.00m,€100.14m,€-46.14m,€100.14m,25.7,€242.70m,€54.00m,26.1,€164.00m,Unai Emery,51,1.97 Years,44,26,7,11,85,1.93,10,1.583,853,0
Liverpool,38,18,9,11,61:35,26,63,7,Liverpool FC,38,25,11,2,2.26,77:27,40.330,30.00,25.90,26.83,€47.80m,€241.00m,€328.00m,€15.93m,€24.10m,€54.67m,26.80,€805.30m,€26.84m,€80.70m,€137.30m,€-56.60m,€137.30m,21.6,€165.00m,€80.70m,24.9,€130.20m,Jürgen Klopp,56,7.35 Years,52,27,11,14,92,1.77,4,1.365,1018,0
Everton,38,16,13,9,60:49,11,61,8,Everton FC,38,17,12,9,1.66,55:37,35.668,34.67,27.20,25.67,€22.95m,€118.00m,€80.50m,€7.65m,€11.80m,€13.42m,27.48,€334.45m,€13.38m,€103.60m,€78.20m,+€25.40m,€78.20m,25.1,€133.15m,€103.60m,27.1,€168.70m,Sean Dyche,51,3.22 Years,18,5,6,7,21,1.17,6,0.6466666666666666,492,€210k
Birmingham,38,13,11,14,38:47,-9,50,9,Birmingham City,46,23,14,9,1.80,54:37,18.582,34.50,28.00,29.33,€800k,€4.70m,€6.70m,€400k,€588k,€1.12m,27.14,€29.10m,€1.32m,€600k,€2.21m,€-1.61m,€2.21m,23.1,€25.15m,€600k,24.8,€45.15m,John Eustace,43,0.99 Years,50,15,12,23,57,1.14,7,0.30571428571428566,59,€375k
Blackburn,38,13,11,14,41:55,-14,50,10,Blackburn Rovers,38,10,11,17,1.08,40:60,29.659,26.00,24.36,23.29,€3.25m,€20.65m,€30.00m,€1.08m,€1.88m,€4.29m,24.15,€69.65m,€2.58m,0,€1.75m,€-1.75m,€1.75m,22.1,€12.88m,0,24.3,€27.00m,Jon Dahl Tomasson,46,0.96 Years,55,26,10,19,88,1.60,10,0.568,188,€15.60m
