Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position,name,matches,wins,draws,losses,pts,goals,spectators,gk_oage,defense_oage,attack_oage,gk_mkt,defense_mkt,attack_mkt,gk_omkt,defense_omkt,attack_omkt,total_oage,total_mkt,total_omkt,income,expenditure,balance,arrival_sum,arrival_age,arrival_mkt,derpature_sum,derpature_age,derpature_mkt,manager_name,manager_age,manager_avarage_time,manager_matches,manager_wins,manager_draws,manager_losses,manager_points,manager_ppm,manager_teams_coached,manager_avarage_ppm,manager_total_matches,manager_total_transfer
Man City,38,27,5,6,102:37,65,86,1,Manchester City,38,23,9,6,2.05,66:34,41.158,31.00,26.67,25.40,€52.70m,€271.00m,€445.00m,€13.18m,€30.11m,€89.00m,27.08,€1.09bn,€43.43m,€162.17m,€150.50m,+€11.67m,€150.50m,22.9,€363.15m,€162.17m,24.1,€295.65m,Pep Guardiola,52,3.75 Years,61,44,10,7,142,2.33,4,1.775,821,€651k
Liverpool,38,26,6,6,101:50,51,84,2,Liverpool FC,38,16,13,9,1.61,71:43,40.628,30.00,25.90,26.83,€47.80m,€241.00m,€328.00m,€15.93m,€24.10m,€54.67m,26.80,€805.30m,€26.84m,€80.70m,€137.30m,€-56.60m,€137.30m,21.6,€165.00m,€80.70m,24.9,€130.20m,Jürgen Klopp,56,7.35 Years,52,27,11,14,92,1.77,4,1.365,1018,0
Chelsea,38,25,7,6,71:27,44,82,3,Chelsea FC,38,22,9,7,1.97,75:39,38.932,27.25,26.27,24.70,€40.50m,€281.20m,€323.00m,€10.13m,€25.56m,€32.30m,25.67,€927.70m,€28.11m,€67.83m,€611.49m,€-543.66m,€611.49m,23.0,€551.80m,€67.83m,25.5,€391.30m,Frank Lampard,45,0.95 Years,34,5,8,21,23,0.68,5,0.966,196,€16.00m
Arsenal,38,24,7,7,68:41,27,79,4,Arsenal FC,38,21,10,7,1.92,72:37,47.758,26.50,24.67,23.43,€48.00m,€310.00m,€359.00m,€24.00m,€34.44m,€51.29m,25.07,€976.00m,€36.15m,€23.80m,€192.36m,€-168.56m,€192.36m,24.2,€367.70m,€23.80m,25.4,€195.20m,Mikel Arteta,41,3.50 Years,49,32,7,10,103,2.10,3,0.6366666666666666,179,€26.70m
Everton,38,21,9,8,61:39,22,72,5,Everton FC,38,16,15,7,1.66,55:40,36.235,34.67,27.20,25.67,€22.95m,€118.00m,€80.50m,€7.65m,€11.80m,€13.42m,27.48,€334.45m,€13.38m,€103.60m,€78.20m,+€25.40m,€78.20m,25.1,€133.15m,€103.60m,27.1,€168.70m,Sean Dyche,51,3.22 Years,18,5,6,7,21,1.17,6,0.6466666666666666,492,€210k
Tottenham,38,21,6,11,55:51,4,69,6,Tottenham Hotspur,38,21,9,8,1.89,66:46,36.276,29.75,26.25,27.33,€5.30m,€185.00m,€269.00m,€1.33m,€23.13m,€44.83m,26.80,€617.30m,€24.69m,€38.75m,€177.90m,€-139.15m,€177.90m,24.7,€325.50m,€38.75m,24.2,€240.50m,Ryan Mason,32,0.19 Years,6,2,1,3,7,1.17,10,0.288,13,€15.40m
Man Utd,38,19,7,12,64:43,21,64,7,Manchester United,38,28,5,5,2.34,86:43,55.051,31.25,25.46,22.55,€33.00m,€274.00m,€283.00m,€8.25m,€21.08m,€25.73m,25.34,€814.80m,€21.44m,€13.25m,€243.28m,€-230.03m,€243.28m,23.6,€282.60m,€13.25m,27.8,€187.75m,Erik ten Hag,53,2.14 Years,62,42,8,12,134,2.16,11,0.9181818181818183,499,0
Southampton,38,15,11,12,54:46,8,56,8,Southampton FC,38,9,14,15,1.08,49:60,33.549,31.67,24.36,25.50,€16.35m,€141.00m,€124.90m,€5.45m,€12.82m,€10.41m,25.45,€393.25m,€11.92m,€5.50m,€142.15m,€-136.65m,€142.15m,23.1,€151.50m,€5.50m,26.4,€72.60m,Rubén Sellés,40,0.20 Years,18,3,4,11,13,0.72,23,0.27999999999999997,18,0
Stoke City,38,13,11,14,45:52,-7,50,9,Stoke City,38,9,15,14,1.11,34:45,31.175,28.33,27.00,25.50,€850k,€12.80m,€9.90m,€283k,€1.60m,€2.48m,27.24,€33.25m,€1.58m,€17.00m,0,+€17.00m,0,24.6,€37.30m,€17.00m,25.8,€53.05m,Alex Neil,42,1.50 Years,49,16,12,21,60,1.22,7,1.4342857142857142,443,0
Newcastle,38,15,4,19,43:59,-16,49,10,Newcastle United,38,11,8,19,1.08,45:68,42.913,31.60,27.92,26.86,€24.00m,€107.90m,€206.00m,€4.80m,€8.30m,€29.43m,27.74,€527.90m,€15.53m,€13.46m,€185.35m,€-171.89m,€185.35m,25.4,€149.20m,€13.46m,28.2,€52.20m,Eddie Howe,45,3.30 Years,46,25,14,7,89,1.93,4,1.58,617,€600k
Crystal Palace,38,13,6,19,33:48,-15,45,11,Crystal Palace,46,19,15,12,1.57,73:62,17.589,28.50,27.00,24.43,€8.25m,€102.20m,€91.00m,€2.06m,€12.78m,€13.00m,26.67,€303.85m,€11.25m,€5.46m,€46.60m,€-41.15m,€46.60m,21.9,€61.50m,€5.46m,25.8,€32.80m,Roy Hodgson,75,1.80 Years,10,5,3,2,18,1.80,24,1.3995833333333334,856,0
Swansea,38,11,9,18,54:54,0,42,12,Swansea City,38,11,13,14,1.21,47:51,28.398,23.67,24.22,23.83,€1.70m,€25.40m,€18.30m,€567k,€2.82m,€3.05m,24.60,€61.40m,€2.46m,€10.65m,€2.30m,+€8.35m,€2.30m,21.8,€10.05m,€10.65m,23.8,€19.20m,Russell Martin,37,1.83 Years,49,18,13,18,67,1.37,3,0.91,179,0
West Ham,38,11,7,20,40:51,-11,40,13,West Ham United,38,12,10,16,1.21,45:53,35.238,34.00,28.75,27.67,€8.90m,€108.10m,€116.00m,€4.45m,€13.51m,€19.33m,28.04,€441.80m,€19.21m,€21.55m,€194.00m,€-172.45m,€194.00m,25.0,€157.00m,€21.55m,28.8,€61.75m,David Moyes,60,3.23 Years,57,27,8,22,89,1.56,8,1.2075,1051,€47k
Sunderland,38,10,8,20,41:60,-19,38,14,Sunderland AFC,38,9,12,17,1.03,41:54,38.220,24.00,24.13,23.43,€7.25m,€9.50m,€22.05m,€3.63m,€1.19m,€3.15m,24.15,€53.65m,€1.99m,0,€6.06m,€-6.06m,€6.06m,21.8,€38.48m,0,25.1,€28.90m,Tony Mowbray,59,2.06 Years,45,18,14,13,68,1.51,10,1.1400000000000001,822,€1.15m
Aston Villa,38,10,8,20,39:61,-22,38,15,Aston Villa,38,10,11,17,1.08,47:69,35.631,28.50,29.00,24.67,€30.50m,€132.80m,€147.80m,€7.63m,€14.76m,€16.42m,26.59,€474.10m,€16.35m,€54.00m,€100.14m,€-46.14m,€100.14m,25.7,€242.70m,€54.00m,26.1,€164.00m,Unai Emery,51,1.97 Years,44,26,7,11,85,1.93,10,1.583,853,0
Hull City,38,10,7,21,38:53,-15,37,16,Hull City,46,24,7,15,1.72,61:52,17.017,23.33,26.25,22.86,€1.65m,€18.85m,€13.30m,€550k,€2.36m,€1.90m,24.96,€50.75m,€1.88m,€19.00m,€11.66m,+€7.34m,€11.66m,23.3,€47.30m,€19.00m,23.9,€38.30m,Liam Rosenior,38,0.44 Years,41,15,16,10,61,1.49,8,0.40375,41,€1.98m
West Brom,38,7,15,16,43:59,-16,36,17,West Bromwich Albion,38,14,7,17,1.29,53:57,30.531,27.00,26.83,26.33,€2.65m,€19.70m,€22.30m,€883k,€1.64m,€3.72m,27.24,€63.45m,€2.19m,0,€1.35m,€-1.35m,€1.35m,26.1,€34.35m,0,27.6,€34.05m,Carlos Corberán,40,0.97 Years,44,21,9,14,72,1.64,18,0.3622222222222222,169,0
Norwich,38,8,9,21,28:62,-34,33,18,Norwich City,38,10,14,14,1.16,41:58,31.341,30.50,25.50,25.13,€3.45m,€34.00m,€24.90m,€863k,€4.25m,€3.11m,25.70,€87.35m,€3.24m,€4.07m,€14.40m,€-10.33m,€14.40m,22.9,€44.35m,€4.07m,24.1,€79.35m,David Wagner,51,1.70 Years,21,7,5,9,26,1.24,7,1.3242857142857143,471,0
Fulham,38,9,5,24,40:85,-45,32,19,Fulham FC,38,11,10,17,1.13,50:60,30.879,28.50,28.11,27.88,€15.00m,€73.80m,€78.90m,€7.50m,€8.20m,€9.86m,27.88,€265.20m,€10.20m,€21.90m,€71.20m,€-49.30m,€71.20m,27.2,€176.40m,€21.90m,27.2,€100.40m,Marco Silva,45,1.31 Years,44,18,8,18,62,1.41,8,1.44875,419,0
Cardiff,38,7,9,22,32:74,-42,30,20,Cardiff City,46,25,12,9,1.89,72:45,19.934,30.50,24.11,24.90,€1.30m,€12.70m,€12.40m,€650k,€1.41m,€1.24m,25.38,€39.20m,€1.35m,0,€655k,€-655k,€655k,24.5,€30.00m,0,26.2,€24.65m,Sabri Lamouchi,51,1.35 Years,18,6,2,10,20,1.11,6,1.5766666666666664,253,€9.35m
