Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position,name,matches,wins,draws,losses,pts,goals,spectators,gk_oage,defense_oage,attack_oage,gk_mkt,defense_mkt,attack_mkt,gk_omkt,defense_omkt,attack_omkt,total_oage,total_mkt,total_omkt,income,expenditure,balance,arrival_sum,arrival_age,arrival_mkt,derpature_sum,derpature_age,derpature_mkt,manager_name,manager_age,manager_avarage_time,manager_matches,manager_wins,manager_draws,manager_losses,manager_points,manager_ppm,manager_teams_coached,manager_avarage_ppm,manager_total_matches,manager_total_transfer
Arsenal,38,26,12,0,73:26,47,90,1,Arsenal FC,38,23,9,6,2.05,85:42,37.347,26.50,24.67,23.43,€48.00m,€310.00m,€359.00m,€24.00m,€34.44m,€51.29m,25.07,€976.00m,€36.15m,€23.80m,€192.36m,€-168.56m,€192.36m,24.2,€367.70m,€23.80m,25.4,€195.20m,Mikel Arteta,41,3.50 Years,49,32,7,10,103,2.10,3,0.6366666666666666,179,€26.70m
Chelsea,38,24,7,7,67:30,37,79,2,Chelsea FC,38,19,10,9,1.76,68:38,37.631,27.25,26.27,24.70,€40.50m,€281.20m,€323.00m,€10.13m,€25.56m,€32.30m,25.67,€927.70m,€28.11m,€67.83m,€611.49m,€-543.66m,€611.49m,23.0,€551.80m,€67.83m,25.5,€391.30m,Frank Lampard,45,0.95 Years,34,5,8,21,23,0.68,5,0.966,196,€16.00m
Man Utd,38,23,6,9,64:35,29,75,3,Manchester United,38,25,8,5,2.18,74:34,51.639,31.25,25.46,22.55,€33.00m,€274.00m,€283.00m,€8.25m,€21.08m,€25.73m,25.34,€814.80m,€21.44m,€13.25m,€243.28m,€-230.03m,€243.28m,23.6,€282.60m,€13.25m,27.8,€187.75m,Erik ten Hag,53,2.14 Years,62,42,8,12,134,2.16,11,0.9181818181818183,499,0
Liverpool,38,16,12,10,55:37,18,60,4,Liverpool FC,38,18,10,10,1.68,61:41,39.765,30.00,25.90,26.83,€47.80m,€241.00m,€328.00m,€15.93m,€24.10m,€54.67m,26.80,€805.30m,€26.84m,€80.70m,€137.30m,€-56.60m,€137.30m,21.6,€165.00m,€80.70m,24.9,€130.20m,Jürgen Klopp,56,7.35 Years,52,27,11,14,92,1.77,4,1.365,1018,0
Newcastle,38,13,17,8,52:40,12,56,5,Newcastle United,38,21,6,11,1.82,63:48,43.736,31.60,27.92,26.86,€24.00m,€107.90m,€206.00m,€4.80m,€8.30m,€29.43m,27.74,€527.90m,€15.53m,€13.46m,€185.35m,€-171.89m,€185.35m,25.4,€149.20m,€13.46m,28.2,€52.20m,Eddie Howe,45,3.30 Years,46,25,14,7,89,1.93,4,1.58,617,€600k
Aston Villa,38,15,11,12,48:44,4,56,6,Aston Villa,38,12,9,17,1.18,42:47,35.103,28.50,29.00,24.67,€30.50m,€132.80m,€147.80m,€7.63m,€14.76m,€16.42m,26.59,€474.10m,€16.35m,€54.00m,€100.14m,€-46.14m,€100.14m,25.7,€242.70m,€54.00m,26.1,€164.00m,Unai Emery,51,1.97 Years,44,26,7,11,85,1.93,10,1.583,853,0
Charlton,38,14,11,13,51:51,0,53,7,Charlton Athletic,38,14,7,17,1.29,45:56,30.182,24.00,25.86,24.14,€775k,€1.85m,€2.95m,€258k,€264k,€421k,24.80,€8.43m,€337k,0,0,+-0,0,23.3,€9.35m,0,25.8,€10.48m,Dean Holden,43,0.35 Years,27,12,5,10,41,1.52,12,0.5691666666666667,83,0
Bolton,38,14,11,13,48:56,-8,53,8,Bolton Wanderers,38,10,14,14,1.16,41:51,30.458,24.50,25.43,29.25,€200k,€2.88m,€2.93m,€100k,€411k,€366k,27.09,€8.30m,€361k,€600k,€570k,+€30k,€570k,22.6,€11.48m,€600k,23.3,€14.65m,Ian Evatt,41,1.69 Years,59,31,13,15,106,1.80,3,1.43,251,€225k
Fulham,38,14,10,14,52:46,6,52,9,Fulham FC,38,13,9,16,1.26,41:50,25.696,28.50,28.11,27.88,€15.00m,€73.80m,€78.90m,€7.50m,€8.20m,€9.86m,27.88,€265.20m,€10.20m,€21.90m,€71.20m,€-49.30m,€71.20m,27.2,€176.40m,€21.90m,27.2,€100.40m,Marco Silva,45,1.31 Years,44,18,8,18,62,1.41,8,1.44875,419,0
Birmingham,38,12,14,12,43:48,-5,50,10,Birmingham City,38,13,9,16,1.26,41:49,32.252,34.50,28.00,29.33,€800k,€4.70m,€6.70m,€400k,€588k,€1.12m,27.14,€29.10m,€1.32m,€600k,€2.21m,€-1.61m,€2.21m,23.1,€25.15m,€600k,24.8,€45.15m,John Eustace,43,0.99 Years,50,15,12,23,57,1.14,7,0.30571428571428566,59,€375k
Middlesbrough,38,13,9,16,44:52,-8,48,11,Middlesbrough FC,38,13,10,15,1.29,48:44,33.055,30.33,27.50,23.20,€1.25m,€22.10m,€19.90m,€417k,€2.21m,€3.98m,26.78,€53.50m,€2.33m,€26.90m,€10.23m,+€16.68m,€10.23m,25.0,€58.55m,€26.90m,25.9,€70.30m,Michael Carrick,41,0.35 Years,33,18,5,10,59,1.79,4,1.03,36,€31.30m
Southampton,38,12,11,15,44:45,-1,47,12,Southampton FC,38,13,13,12,1.37,43:46,32.366,31.67,24.36,25.50,€16.35m,€141.00m,€124.90m,€5.45m,€12.82m,€10.41m,25.45,€393.25m,€11.92m,€5.50m,€142.15m,€-136.65m,€142.15m,23.1,€151.50m,€5.50m,26.4,€72.60m,Rubén Sellés,40,0.20 Years,18,3,4,11,13,0.72,23,0.27999999999999997,18,0
Portsmouth,38,12,9,17,47:54,-7,45,13,Portsmouth FC,46,29,11,6,2.13,97:45,17.956,22.00,25.89,25.83,€450k,€3.10m,€2.05m,€450k,€344k,€342k,25.36,€8.25m,€330k,€700k,0,+€700k,0,22.7,€10.25m,€700k,24.1,€10.53m,John Mousinho,37,0.42 Years,23,10,9,4,39,1.70,1,1.7,23,0
