Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position,name,matches,wins,draws,losses,pts,goals,spectators,gk_oage,defense_oage,attack_oage,gk_mkt,defense_mkt,attack_mkt,gk_omkt,defense_omkt,attack_omkt,total_oage,total_mkt,total_omkt,income,expenditure,balance,arrival_sum,arrival_age,arrival_mkt,derpature_sum,derpature_age,derpature_mkt,manager_name,manager_age,manager_avarage_time,manager_matches,manager_wins,manager_draws,manager_losses,manager_points,manager_ppm,manager_teams_coached,manager_avarage_ppm,manager_total_matches,manager_total_transfer
Arsenal,38,26,9,3,79:36,43,87,1,Arsenal FC,38,20,10,8,1.84,63:38,35.409,26.50,24.67,23.43,€48.00m,€310.00m,€359.00m,€24.00m,€34.44m,€51.29m,25.07,€976.00m,€36.15m,€23.80m,€192.36m,€-168.56m,€192.36m,24.2,€367.70m,€23.80m,25.4,€195.20m,Mikel Arteta,41,3.50 Years,49,32,7,10,103,2.10,3,0.6366666666666666,179.0,€26.70m
Liverpool,38,24,8,6,67:30,37,80,2,Liverpool FC,38,20,9,9,1.82,71:39,38.938,30.00,25.90,26.83,€47.80m,€241.00m,€328.00m,€15.93m,€24.10m,€54.67m,26.80,€805.30m,€26.84m,€80.70m,€137.30m,€-56.60m,€137.30m,21.6,€165.00m,€80.70m,24.9,€130.20m,Jürgen Klopp,56,7.35 Years,52,27,11,14,92,1.77,4,1.365,1018.0,0
Man Utd,38,24,5,9,87:45,42,77,3,Manchester United,38,24,8,6,2.11,79:31,50.131,31.25,25.46,22.55,€33.00m,€274.00m,€283.00m,€8.25m,€21.08m,€25.73m,25.34,€814.80m,€21.44m,€13.25m,€243.28m,€-230.03m,€243.28m,23.6,€282.60m,€13.25m,27.8,€187.75m,Erik ten Hag,53,2.14 Years,62,42,8,12,134,2.16,11,0.9181818181818183,499.0,0
Newcastle,38,21,8,9,74:52,22,71,4,Newcastle United,38,14,9,15,1.34,44:50,42.038,31.60,27.92,26.86,€24.00m,€107.90m,€206.00m,€4.80m,€8.30m,€29.43m,27.74,€527.90m,€15.53m,€13.46m,€185.35m,€-171.89m,€185.35m,25.4,€149.20m,€13.46m,28.2,€52.20m,Eddie Howe,45,3.30 Years,46,25,14,7,89,1.93,4,1.58,617.0,€600k
Leeds,38,18,12,8,53:37,16,66,5,Leeds United,38,20,8,10,1.79,64:43,35.794,26.00,25.36,24.09,€22.80m,€89.30m,€133.90m,€7.60m,€8.12m,€12.17m,24.78,€325.20m,€10.16m,€114.50m,€145.59m,€-31.09m,€145.59m,23.8,€194.90m,€114.50m,24.4,€163.70m,Sam Allardyce,68,1.59 Years,4,0,1,3,1,0.25,18,0.8122222222222223,829.0,€298k
Chelsea,38,17,13,8,66:38,28,64,6,Chelsea FC,38,17,10,11,1.61,68:45,33.656,27.25,26.27,24.70,€40.50m,€281.20m,€323.00m,€10.13m,€25.56m,€32.30m,25.67,€927.70m,€28.11m,€67.83m,€611.49m,€-543.66m,€611.49m,23.0,€551.80m,€67.83m,25.5,€391.30m,Frank Lampard,45,0.95 Years,34,5,8,21,23,0.68,5,0.966,196.0,€16.00m
West Ham,38,15,8,15,48:57,-9,53,7,West Ham United,38,10,12,16,1.11,45:50,29.435,34.00,28.75,27.67,€8.90m,€108.10m,€116.00m,€4.45m,€13.51m,€19.33m,28.04,€441.80m,€19.21m,€21.55m,€194.00m,€-172.45m,€194.00m,25.0,€157.00m,€21.55m,28.8,€61.75m,David Moyes,60,3.23 Years,57,27,8,22,89,1.56,8,1.2075,1051.0,€47k
Aston Villa,38,12,14,12,46:47,-1,50,8,Aston Villa,38,13,15,10,1.42,46:43,32.021,28.50,29.00,24.67,€30.50m,€132.80m,€147.80m,€7.63m,€14.76m,€16.42m,26.59,€474.10m,€16.35m,€54.00m,€100.14m,€-46.14m,€100.14m,25.7,€242.70m,€54.00m,26.1,€164.00m,Unai Emery,51,1.97 Years,44,26,7,11,85,1.93,10,1.583,853.0,0
Tottenham,38,14,8,16,49:53,-4,50,9,Tottenham Hotspur,38,13,10,15,1.29,47:54,34.061,29.75,26.25,27.33,€5.30m,€185.00m,€269.00m,€1.33m,€23.13m,€44.83m,26.80,€617.30m,€24.69m,€38.75m,€177.90m,€-139.15m,€177.90m,24.7,€325.50m,€38.75m,24.2,€240.50m,Ryan Mason,32,0.19 Years,6,2,1,3,7,1.17,10,0.288,13.0,€15.40m
Blackburn,38,12,10,16,55:51,4,46,10,Blackburn Rovers,46,26,13,7,1.98,76:39,17.733,26.00,24.36,23.29,€3.25m,€20.65m,€30.00m,€1.08m,€1.88m,€4.29m,24.15,€69.65m,€2.58m,0,€1.75m,€-1.75m,€1.75m,22.1,€12.88m,0,24.3,€27.00m,Jon Dahl Tomasson,46,0.96 Years,55,26,10,19,88,1.60,10,0.568,188.0,€15.60m
