Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position,name,matches,wins,draws,losses,pts,goals,spectators,gk_oage,defense_oage,attack_oage,gk_mkt,defense_mkt,attack_mkt,gk_omkt,defense_omkt,attack_omkt,total_oage,total_mkt,total_omkt,income,expenditure,balance,arrival_sum,arrival_age,arrival_mkt,derpature_sum,derpature_age,derpature_mkt,manager_name,manager_age,manager_avarage_time,manager_matches,manager_wins,manager_draws,manager_losses,manager_points,manager_ppm,manager_teams_coached,manager_avarage_ppm,manager_total_matches,manager_total_transfer
Man Utd,38,27,6,5,80:22,58,87,1,Manchester United,38,28,5,5,2.34,83:27,55.038,31.25,25.46,22.55,€33.00m,€274.00m,€283.00m,€8.25m,€21.08m,€25.73m,25.34,€814.80m,€21.44m,€13.25m,€243.28m,€-230.03m,€243.28m,23.6,€282.60m,€13.25m,27.8,€187.75m,Erik ten Hag,53,2.14 Years,62,42,8,12,134,2.16,11,0.9181818181818183,499,0
Chelsea,38,25,10,3,65:26,39,85,2,Chelsea FC,38,24,11,3,2.18,64:24,38.109,27.25,26.27,24.70,€40.50m,€281.20m,€323.00m,€10.13m,€25.56m,€32.30m,25.67,€927.70m,€28.11m,€67.83m,€611.49m,€-543.66m,€611.49m,23.0,€551.80m,€67.83m,25.5,€391.30m,Frank Lampard,45,0.95 Years,34,5,8,21,23,0.68,5,0.966,196,€16.00m
Arsenal,38,24,11,3,74:31,43,83,3,Arsenal FC,38,19,11,8,1.79,63:35,46.931,26.50,24.67,23.43,€48.00m,€310.00m,€359.00m,€24.00m,€34.44m,€51.29m,25.07,€976.00m,€36.15m,€23.80m,€192.36m,€-168.56m,€192.36m,24.2,€367.70m,€23.80m,25.4,€195.20m,Mikel Arteta,41,3.50 Years,49,32,7,10,103,2.10,3,0.6366666666666666,179,€26.70m
Liverpool,38,21,13,4,67:28,39,76,4,Liverpool FC,38,20,8,10,1.79,57:27,39.814,30.00,25.90,26.83,€47.80m,€241.00m,€328.00m,€15.93m,€24.10m,€54.67m,26.80,€805.30m,€26.84m,€80.70m,€137.30m,€-56.60m,€137.30m,21.6,€165.00m,€80.70m,24.9,€130.20m,Jürgen Klopp,56,7.35 Years,52,27,11,14,92,1.77,4,1.365,1018,0
Everton,38,19,8,11,55:33,22,65,5,Everton FC,38,15,13,10,1.53,52:36,35.619,34.67,27.20,25.67,€22.95m,€118.00m,€80.50m,€7.65m,€11.80m,€13.42m,27.48,€334.45m,€13.38m,€103.60m,€78.20m,+€25.40m,€78.20m,25.1,€133.15m,€103.60m,27.1,€168.70m,Sean Dyche,51,3.22 Years,18,5,6,7,21,1.17,6,0.6466666666666666,492,€210k
Aston Villa,38,16,12,10,71:51,20,60,6,Aston Villa,38,11,17,10,1.32,43:41,35.457,28.50,29.00,24.67,€30.50m,€132.80m,€147.80m,€7.63m,€14.76m,€16.42m,26.59,€474.10m,€16.35m,€54.00m,€100.14m,€-46.14m,€100.14m,25.7,€242.70m,€54.00m,26.1,€164.00m,Unai Emery,51,1.97 Years,44,26,7,11,85,1.93,10,1.583,853,0
Blackburn,38,15,13,10,50:48,2,58,7,Blackburn Rovers,38,15,7,16,1.37,52:54,27.383,26.00,24.36,23.29,€3.25m,€20.65m,€30.00m,€1.08m,€1.88m,€4.29m,24.15,€69.65m,€2.58m,0,€1.75m,€-1.75m,€1.75m,22.1,€12.88m,0,24.3,€27.00m,Jon Dahl Tomasson,46,0.96 Years,55,26,10,19,88,1.60,10,0.568,188,€15.60m
Portsmouth,38,16,9,13,48:40,8,57,8,Portsmouth FC,38,14,12,12,1.42,45:42,27.030,22.00,25.89,25.83,€450k,€3.10m,€2.05m,€450k,€344k,€342k,25.36,€8.25m,€330k,€700k,0,+€700k,0,22.7,€10.25m,€700k,24.1,€10.53m,John Mousinho,37,0.42 Years,23,10,9,4,39,1.70,1,1.7,23,0
Man City,38,15,10,13,45:53,-8,55,9,Manchester City,38,11,9,18,1.11,29:44,36.804,31.00,26.67,25.40,€52.70m,€271.00m,€445.00m,€13.18m,€30.11m,€89.00m,27.08,€1.09bn,€43.43m,€162.17m,€150.50m,+€11.67m,€150.50m,22.9,€363.15m,€162.17m,24.1,€295.65m,Pep Guardiola,52,3.75 Years,61,44,10,7,142,2.33,4,1.775,821,€651k
West Ham,38,13,10,15,42:50,-8,49,10,West Ham United,38,12,5,21,1.08,35:59,34.744,34.00,28.75,27.67,€8.90m,€108.10m,€116.00m,€4.45m,€13.51m,€19.33m,28.04,€441.80m,€19.21m,€21.55m,€194.00m,€-172.45m,€194.00m,25.0,€157.00m,€21.55m,28.8,€61.75m,David Moyes,60,3.23 Years,57,27,8,22,89,1.56,8,1.2075,1051,€47k
