Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position,name,matches,wins,draws,losses,pts,goals,spectators,gk_oage,defense_oage,attack_oage,gk_mkt,defense_mkt,attack_mkt,gk_omkt,defense_omkt,attack_omkt,total_oage,total_mkt,total_omkt,income,expenditure,balance,arrival_sum,arrival_age,arrival_mkt,derpature_sum,derpature_age,derpature_mkt,manager_name,manager_age,manager_avarage_time,manager_matches,manager_wins,manager_draws,manager_losses,manager_points,manager_ppm,manager_teams_coached,manager_avarage_ppm,manager_total_matches,manager_total_transfer
Man Utd,38,24,8,6,79:31,48,80,1,Manchester United,38,28,7,3,2.39,97:45,45.033,31.25,25.46,22.55,€33.00m,€274.00m,€283.00m,€8.25m,€21.08m,€25.73m,25.34,€814.80m,€21.44m,€13.25m,€243.28m,€-230.03m,€243.28m,23.6,€282.60m,€13.25m,27.8,€187.75m,Erik ten Hag,53,2.14 Years,62,42,8,12,134,2.16,11,0.9181818181818183,499.0,0
Arsenal,38,20,10,8,63:38,25,70,2,Arsenal FC,38,22,7,9,1.92,73:43,34.781,26.50,24.67,23.43,€48.00m,€310.00m,€359.00m,€24.00m,€34.44m,€51.29m,25.07,€976.00m,€36.15m,€23.80m,€192.36m,€-168.56m,€192.36m,24.2,€367.70m,€23.80m,25.4,€195.20m,Mikel Arteta,41,3.50 Years,49,32,7,10,103,2.10,3,0.6366666666666666,179.0,€26.70m
Liverpool,38,20,9,9,71:39,32,69,3,Liverpool FC,38,19,10,9,1.76,51:30,38.429,30.00,25.90,26.83,€47.80m,€241.00m,€328.00m,€15.93m,€24.10m,€54.67m,26.80,€805.30m,€26.84m,€80.70m,€137.30m,€-56.60m,€137.30m,21.6,€165.00m,€80.70m,24.9,€130.20m,Jürgen Klopp,56,7.35 Years,52,27,11,14,92,1.77,4,1.365,1018.0,0
Leeds,38,20,8,10,64:43,21,68,4,Leeds United,38,21,6,11,1.82,58:43,35.027,26.00,25.36,24.09,€22.80m,€89.30m,€133.90m,€7.60m,€8.12m,€12.17m,24.78,€325.20m,€10.16m,€114.50m,€145.59m,€-31.09m,€145.59m,23.8,€194.90m,€114.50m,24.4,€163.70m,Sam Allardyce,68,1.59 Years,4,0,1,3,1,0.25,18,0.8122222222222223,829.0,€298k
Ipswich,38,20,6,12,57:42,15,66,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,,
Chelsea,38,17,10,11,68:45,23,61,6,Chelsea FC,38,18,11,9,1.71,53:34,33.035,27.25,26.27,24.70,€40.50m,€281.20m,€323.00m,€10.13m,€25.56m,€32.30m,25.67,€927.70m,€28.11m,€67.83m,€611.49m,€-543.66m,€611.49m,23.0,€551.80m,€67.83m,25.5,€391.30m,Frank Lampard,45,0.95 Years,34,5,8,21,23,0.68,5,0.966,196.0,€16.00m
Sunderland,38,15,12,11,46:41,5,57,7,Sunderland AFC,38,16,10,12,1.53,57:56,36.404,24.00,24.13,23.43,€7.25m,€9.50m,€22.05m,€3.63m,€1.19m,€3.15m,24.15,€53.65m,€1.99m,0,€6.06m,€-6.06m,€6.06m,21.8,€38.48m,0,25.1,€28.90m,Tony Mowbray,59,2.06 Years,45,18,14,13,68,1.51,10,1.1400000000000001,822.0,€1.15m
Aston Villa,38,13,15,10,46:43,3,54,8,Aston Villa,38,15,13,10,1.53,46:35,31.101,28.50,29.00,24.67,€30.50m,€132.80m,€147.80m,€7.63m,€14.76m,€16.42m,26.59,€474.10m,€16.35m,€54.00m,€100.14m,€-46.14m,€100.14m,25.7,€242.70m,€54.00m,26.1,€164.00m,Unai Emery,51,1.97 Years,44,26,7,11,85,1.93,10,1.583,853.0,0
Charlton,38,14,10,14,50:57,-7,52,9,Charlton Athletic,46,27,10,9,1.98,79:45,17.067,24.00,25.86,24.14,€775k,€1.85m,€2.95m,€258k,€264k,€421k,24.80,€8.43m,€337k,0,0,+-0,0,23.3,€9.35m,0,25.8,€10.48m,Dean Holden,43,0.35 Years,27,12,5,10,41,1.52,12,0.5691666666666667,83.0,0
Southampton,38,14,10,14,40:48,-8,52,10,Southampton FC,38,12,8,18,1.16,45:62,22.877,31.67,24.36,25.50,€16.35m,€141.00m,€124.90m,€5.45m,€12.82m,€10.41m,25.45,€393.25m,€11.92m,€5.50m,€142.15m,€-136.65m,€142.15m,23.1,€151.50m,€5.50m,26.4,€72.60m,Rubén Sellés,40,0.20 Years,18,3,4,11,13,0.72,23,0.27999999999999997,18.0,0
