Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position,name,matches,wins,draws,losses,pts,goals,spectators,gk_oage,defense_oage,attack_oage,gk_mkt,defense_mkt,attack_mkt,gk_omkt,defense_omkt,attack_omkt,total_oage,total_mkt,total_omkt,income,expenditure,balance,arrival_sum,arrival_age,arrival_mkt,derpature_sum,derpature_age,derpature_mkt,manager_name,manager_age,manager_avarage_time,manager_matches,manager_wins,manager_draws,manager_losses,manager_points,manager_ppm,manager_teams_coached,manager_avarage_ppm,manager_total_matches,manager_total_transfer
Man City,38,28,5,5,94:33,61,89,1,Manchester City,38,29,6,3,2.45,99:26,44.011,31.00,26.67,25.40,€52.70m,€271.00m,€445.00m,€13.18m,€30.11m,€89.00m,27.08,€1.09bn,€43.43m,€162.17m,€150.50m,+€11.67m,€150.50m,22.9,€363.15m,€162.17m,24.1,€295.65m,Pep Guardiola,52,3.75 Years,61,44,10,7,142,2.33,4,1.775,821,€651k
Arsenal,38,26,6,6,88:43,45,84,2,Arsenal FC,38,22,3,13,1.82,61:48,49.383,27.00,24.67,23.43,€48.00m,€310.00m,€359.00m,€24.00m,€34.44m,€51.29m,25.11,€976.00m,€36.15m,€23.80m,€192.36m,€-168.56m,€192.36m,24.2,€367.70m,€23.80m,25.4,€195.20m,Mikel Arteta,41,3.51 Years,49,32,7,10,103,2.10,3,0.6366666666666666,179,€26.70m
Man Utd,38,23,6,9,58:43,15,75,3,Manchester United,38,16,10,12,1.53,57:57,54.894,31.25,25.46,22.55,€33.00m,€274.00m,€283.00m,€8.25m,€21.08m,€25.73m,25.34,€814.80m,€21.44m,€13.25m,€243.28m,€-230.03m,€243.28m,23.6,€282.60m,€13.25m,27.8,€187.75m,Erik ten Hag,53,2.14 Years,62,42,8,12,134,2.16,11,0.9181818181818183,499,0
Newcastle,38,19,14,5,68:33,35,71,4,Newcastle United,38,13,10,15,1.29,44:62,45.458,31.60,27.92,26.86,€24.00m,€107.90m,€206.00m,€4.80m,€8.30m,€29.43m,27.74,€527.90m,€15.53m,€13.46m,€185.35m,€-171.89m,€185.35m,25.4,€149.20m,€13.46m,28.2,€52.20m,Eddie Howe,45,3.30 Years,46,25,14,7,89,1.93,4,1.58,617,€600k
Liverpool,38,19,10,9,75:47,28,67,5,Liverpool FC,38,28,8,2,2.42,94:26,45.958,30.00,25.90,27.00,€47.80m,€241.00m,€328.00m,€15.93m,€24.10m,€54.67m,26.83,€805.30m,€26.84m,€80.70m,€137.30m,€-56.60m,€137.30m,21.6,€165.00m,€80.70m,24.9,€130.20m,Jürgen Klopp,56,7.35 Years,52,27,11,14,92,1.77,4,1.365,1018,0
Brighton,38,18,8,12,72:53,19,62,6,Brighton & Hove Albion,38,12,15,11,1.34,42:44,35.500,26.67,25.86,24.57,€26.60m,€100.70m,€127.00m,€8.87m,€14.39m,€18.14m,24.85,€448.90m,€16.63m,€137.90m,€55.73m,+€82.17m,€55.73m,21.8,€105.50m,€137.90m,23.5,€204.70m,Roberto De Zerbi,44,1.21 Years,39,19,7,13,64,1.64,7,1.1642857142857141,321,0
Aston Villa,38,18,7,13,51:46,5,61,7,Aston Villa,38,13,6,19,1.18,52:54,37.911,28.50,29.00,24.67,€30.50m,€132.80m,€147.80m,€7.63m,€14.76m,€16.42m,26.59,€474.10m,€16.35m,€54.00m,€100.14m,€-46.14m,€100.14m,25.7,€242.70m,€54.00m,26.1,€164.00m,Unai Emery,51,1.97 Years,44,26,7,11,85,1.93,10,1.583,853,0
Tottenham,38,18,6,14,70:63,7,60,8,Tottenham Hotspur,38,22,5,11,1.87,69:40,47.762,29.75,26.25,27.33,€5.30m,€185.00m,€269.00m,€1.33m,€23.13m,€44.83m,26.80,€617.30m,€24.69m,€38.75m,€177.90m,€-139.15m,€177.90m,24.7,€325.50m,€38.75m,24.2,€240.50m,Ryan Mason,32,0.19 Years,6,2,1,3,7,1.17,10,0.288,13,€15.40m
Brentford,38,15,14,9,58:46,12,59,9,Brentford FC,38,13,7,18,1.21,48:56,27.968,24.50,27.00,23.88,€34.30m,€95.90m,€141.80m,€8.58m,€9.59m,€17.73m,25.62,€359.00m,€12.38m,€3.60m,€51.50m,€-47.90m,€51.50m,23.4,€82.85m,€3.60m,24.9,€61.15m,Thomas Frank,49,2.32 Years,41,16,14,11,62,1.51,9,0.8022222222222223,349,0
Fulham,38,15,7,16,55:53,2,52,10,Fulham FC,46,27,9,10,1.96,106:43,17.121,28.50,28.11,27.88,€15.00m,€73.80m,€78.90m,€7.50m,€8.20m,€9.86m,27.88,€265.20m,€10.20m,€21.90m,€71.20m,€-49.30m,€71.20m,27.2,€176.40m,€21.90m,27.2,€100.40m,Marco Silva,45,1.31 Years,44,18,8,18,62,1.41,8,1.44875,419,0
