Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position,name,matches,wins,draws,losses,pts,goals,spectators,gk_oage,defense_oage,attack_oage,gk_mkt,defense_mkt,attack_mkt,gk_omkt,defense_omkt,attack_omkt,total_oage,total_mkt,total_omkt,income,expenditure,balance,arrival_sum,arrival_age,arrival_mkt,derpature_sum,derpature_age,derpature_mkt,manager_name,manager_age,manager_avarage_time,manager_matches,manager_wins,manager_draws,manager_losses,manager_points,manager_ppm,manager_teams_coached,manager_avarage_ppm,manager_total_matches,manager_total_transfer
Man Utd,38,25,8,5,74:34,40,83,1,Manchester United,38,24,5,9,2.03,87:45,51.477,31.25,25.46,22.55,€33.00m,€274.00m,€283.00m,€8.25m,€21.08m,€25.73m,25.34,€814.80m,€21.44m,€13.25m,€243.28m,€-230.03m,€243.28m,23.6,€282.60m,€13.25m,27.8,€187.75m,Erik ten Hag,53,2.14 Years,62,42,8,12,134,2.16,11,0.9181818181818183,499,0
Arsenal,38,23,9,6,85:42,43,78,2,Arsenal FC,38,26,9,3,2.29,79:36,36.744,26.50,24.67,23.43,€48.00m,€310.00m,€359.00m,€24.00m,€34.44m,€51.29m,25.07,€976.00m,€36.15m,€23.80m,€192.36m,€-168.56m,€192.36m,24.2,€367.70m,€23.80m,25.4,€195.20m,Mikel Arteta,41,3.50 Years,49,32,7,10,103,2.10,3,0.6366666666666666,179,€26.70m
Newcastle,38,21,6,11,63:48,15,69,3,Newcastle United,38,21,8,9,1.87,74:52,42.793,31.60,27.92,26.86,€24.00m,€107.90m,€206.00m,€4.80m,€8.30m,€29.43m,27.74,€527.90m,€15.53m,€13.46m,€185.35m,€-171.89m,€185.35m,25.4,€149.20m,€13.46m,28.2,€52.20m,Eddie Howe,45,3.30 Years,46,25,14,7,89,1.93,4,1.58,617,€600k
Chelsea,38,19,10,9,68:38,30,67,4,Chelsea FC,38,17,13,8,1.68,66:38,36.804,27.25,26.27,24.70,€40.50m,€281.20m,€323.00m,€10.13m,€25.56m,€32.30m,25.67,€927.70m,€28.11m,€67.83m,€611.49m,€-543.66m,€611.49m,23.0,€551.80m,€67.83m,25.5,€391.30m,Frank Lampard,45,0.95 Years,34,5,8,21,23,0.68,5,0.966,196,€16.00m
Liverpool,38,18,10,10,61:41,20,64,5,Liverpool FC,38,24,8,6,2.11,67:30,39.707,30.00,25.90,26.83,€47.80m,€241.00m,€328.00m,€15.93m,€24.10m,€54.67m,26.80,€805.30m,€26.84m,€80.70m,€137.30m,€-56.60m,€137.30m,21.6,€165.00m,€80.70m,24.9,€130.20m,Jürgen Klopp,56,7.35 Years,52,27,11,14,92,1.77,4,1.365,1018,0
Blackburn,38,16,12,10,52:43,9,60,6,Blackburn Rovers,38,12,10,16,1.21,55:51,30.105,26.00,24.36,23.29,€3.25m,€20.65m,€30.00m,€1.08m,€1.88m,€4.29m,24.15,€69.65m,€2.58m,0,€1.75m,€-1.75m,€1.75m,22.1,€12.88m,0,24.3,€27.00m,Jon Dahl Tomasson,46,0.96 Years,55,26,10,19,88,1.60,10,0.568,188,€15.60m
Everton,38,17,8,13,48:49,-1,59,7,Everton FC,38,11,10,17,1.13,45:57,34.397,34.67,27.20,25.67,€22.95m,€118.00m,€80.50m,€7.65m,€11.80m,€13.42m,27.48,€334.45m,€13.38m,€103.60m,€78.20m,+€25.40m,€78.20m,25.1,€133.15m,€103.60m,27.1,€168.70m,Sean Dyche,51,3.22 Years,18,5,6,7,21,1.17,6,0.6466666666666666,492,€210k
Southampton,38,13,13,12,43:46,-3,52,8,Southampton FC,38,12,9,17,1.18,46:54,32.360,31.67,24.36,25.50,€16.35m,€141.00m,€124.90m,€5.45m,€12.82m,€10.41m,25.45,€393.25m,€11.92m,€5.50m,€142.15m,€-136.65m,€142.15m,23.1,€151.50m,€5.50m,26.4,€72.60m,Rubén Sellés,40,0.20 Years,18,3,4,11,13,0.72,23,0.27999999999999997,18,0
Man City,38,15,6,17,47:54,-7,51,9,Manchester City,46,31,6,9,2.15,108:52,25.345,31.00,26.67,25.40,€52.70m,€271.00m,€445.00m,€13.18m,€30.11m,€89.00m,27.08,€1.09bn,€43.43m,€162.17m,€150.50m,+€11.67m,€150.50m,22.9,€363.15m,€162.17m,24.1,€295.65m,Pep Guardiola,52,3.75 Years,61,44,10,7,142,2.33,4,1.775,821,€651k
Tottenham,38,14,8,16,51:62,-11,50,10,Tottenham Hotspur,38,14,8,16,1.32,49:53,34.865,29.75,26.25,27.33,€5.30m,€185.00m,€269.00m,€1.33m,€23.13m,€44.83m,26.80,€617.30m,€24.69m,€38.75m,€177.90m,€-139.15m,€177.90m,24.7,€325.50m,€38.75m,24.2,€240.50m,Ryan Mason,32,0.19 Years,6,2,1,3,7,1.17,10,0.288,13,€15.40m
