Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position,name,matches,wins,draws,losses,pts,goals,spectators,gk_oage,defense_oage,attack_oage,gk_mkt,defense_mkt,attack_mkt,gk_omkt,defense_omkt,attack_omkt,total_oage,total_mkt,total_omkt,income,expenditure,balance,arrival_sum,arrival_age,arrival_mkt,derpature_sum,derpature_age,derpature_mkt,manager_name,manager_age,manager_avarage_time,manager_matches,manager_wins,manager_draws,manager_losses,manager_points,manager_ppm,manager_teams_coached,manager_avarage_ppm,manager_total_matches,manager_total_transfer
Man City,38,32,4,2,106:27,79,100,1,Manchester City,38,23,9,6,2.05,80:39,44.486,31.00,26.67,25.40,€52.70m,€271.00m,€445.00m,€13.18m,€30.11m,€89.00m,27.08,€1.09bn,€43.43m,€162.17m,€150.50m,+€11.67m,€150.50m,22.9,€363.15m,€162.17m,24.1,€295.65m,Pep Guardiola,52,3.75 Years,61,44,10,7,142,2.33,4,1.775,821,€651k
Man Utd,38,25,6,7,68:28,40,81,2,Manchester United,38,18,15,5,1.82,54:29,54.905,31.25,25.46,22.55,€33.00m,€274.00m,€283.00m,€8.25m,€21.08m,€25.73m,25.34,€814.80m,€21.44m,€13.25m,€243.28m,€-230.03m,€243.28m,23.6,€282.60m,€13.25m,27.8,€187.75m,Erik ten Hag,53,2.14 Years,62,42,8,12,134,2.16,11,0.9181818181818183,499,0
Tottenham,38,23,8,7,74:36,38,77,3,Tottenham Hotspur,38,26,8,4,2.26,86:26,33.912,29.75,26.25,27.33,€5.30m,€185.00m,€269.00m,€1.33m,€23.13m,€44.83m,26.80,€617.30m,€24.69m,€38.75m,€177.90m,€-139.15m,€177.90m,24.7,€325.50m,€38.75m,24.2,€240.50m,Ryan Mason,32,0.19 Years,6,2,1,3,7,1.17,10,0.288,13,€15.40m
Liverpool,38,21,12,5,84:38,46,75,4,Liverpool FC,38,22,10,6,2.00,78:42,44.423,30.00,25.90,26.83,€47.80m,€241.00m,€328.00m,€15.93m,€24.10m,€54.67m,26.80,€805.30m,€26.84m,€80.70m,€137.30m,€-56.60m,€137.30m,21.6,€165.00m,€80.70m,24.9,€130.20m,Jürgen Klopp,56,7.35 Years,52,27,11,14,92,1.77,4,1.365,1018,0
Chelsea,38,21,7,10,62:38,24,70,5,Chelsea FC,38,30,3,5,2.45,85:33,38.724,27.25,26.27,24.70,€40.50m,€281.20m,€323.00m,€10.13m,€25.56m,€32.30m,25.67,€927.70m,€28.11m,€67.83m,€611.49m,€-543.66m,€611.49m,23.0,€551.80m,€67.83m,25.5,€391.30m,Frank Lampard,45,0.95 Years,34,5,8,21,23,0.68,5,0.966,196,€16.00m
Arsenal,38,19,6,13,74:51,23,63,6,Arsenal FC,38,23,6,9,1.97,77:44,47.481,26.50,24.67,23.43,€48.00m,€310.00m,€359.00m,€24.00m,€34.44m,€51.29m,25.07,€976.00m,€36.15m,€23.80m,€192.36m,€-168.56m,€192.36m,24.2,€367.70m,€23.80m,25.4,€195.20m,Mikel Arteta,41,3.50 Years,49,32,7,10,103,2.10,3,0.6366666666666666,179,€26.70m
Burnley,38,14,12,12,36:39,-3,54,7,Burnley FC,38,11,7,20,1.05,39:55,28.491,24.75,25.11,26.25,€13.60m,€48.40m,€33.70m,€3.40m,€5.38m,€4.21m,25.81,€132.30m,€5.09m,€76.46m,€43.20m,+€33.26m,€43.20m,22.6,€70.73m,€76.46m,26.8,€165.35m,Vincent Kompany,37,1.42 Years,54,34,15,5,117,2.17,3,1.6900000000000002,149,€19.00m
Everton,38,13,10,15,44:58,-14,49,8,Everton FC,38,17,10,11,1.61,62:44,37.470,34.67,27.20,25.67,€22.95m,€118.00m,€80.50m,€7.65m,€11.80m,€13.42m,27.48,€334.45m,€13.38m,€103.60m,€78.20m,+€25.40m,€78.20m,25.1,€133.15m,€103.60m,27.1,€168.70m,Sean Dyche,51,3.22 Years,18,5,6,7,21,1.17,6,0.6466666666666666,492,€210k
Leicester,38,12,11,15,56:60,-4,47,9,Leicester City,38,12,8,18,1.16,48:63,33.934,29.33,27.08,26.33,€11.50m,€147.80m,€99.30m,€3.83m,€12.32m,€16.55m,27.17,€429.10m,€14.30m,€81.40m,€48.00m,+€33.40m,€48.00m,25.5,€67.40m,€81.40m,27.7,€67.85m,Dean Smith,52,2.44 Years,34,13,8,13,47,1.38,6,1.0666666666666667,605,€137k
Newcastle,38,12,8,18,39:47,-8,44,10,Newcastle United,46,29,7,10,2.04,85:40,36.674,31.60,27.92,26.86,€24.00m,€107.90m,€206.00m,€4.80m,€8.30m,€29.43m,27.74,€527.90m,€15.53m,€13.46m,€185.35m,€-171.89m,€185.35m,25.4,€149.20m,€13.46m,28.2,€52.20m,Eddie Howe,45,3.30 Years,46,25,14,7,89,1.93,4,1.58,617,€600k
Crystal Palace,38,11,11,16,45:55,-10,44,11,Crystal Palace,38,12,5,21,1.08,50:63,30.529,28.50,27.00,24.43,€8.25m,€102.20m,€91.00m,€2.06m,€12.78m,€13.00m,26.67,€303.85m,€11.25m,€5.46m,€46.60m,€-41.15m,€46.60m,21.9,€61.50m,€5.46m,25.8,€32.80m,Roy Hodgson,75,1.80 Years,10,5,3,2,18,1.80,24,1.3995833333333334,856,0
Bournemouth,38,11,11,16,45:61,-16,44,12,AFC Bournemouth,38,12,10,16,1.21,55:67,23.961,28.75,25.78,25.44,€5.05m,€86.70m,€81.40m,€1.26m,€9.63m,€9.04m,26.16,€278.75m,€8.99m,0,€83.10m,€-83.10m,€83.10m,25.2,€98.65m,0,25.5,€18.40m,Gary O'Neil,40,0.40 Years,37,11,6,20,39,1.05,6,0.375,37,€10.40m
West Ham,38,10,12,16,48:68,-20,42,13,West Ham United,38,12,9,17,1.18,47:64,45.864,34.00,28.75,27.67,€8.90m,€108.10m,€116.00m,€4.45m,€13.51m,€19.33m,28.04,€441.80m,€19.21m,€21.55m,€194.00m,€-172.45m,€194.00m,25.0,€157.00m,€21.55m,28.8,€61.75m,David Moyes,60,3.23 Years,57,27,8,22,89,1.56,8,1.2075,1051,€47k
Watford,38,11,8,19,44:64,-20,41,14,Watford FC,38,11,7,20,1.05,40:68,28.322,28.67,27.78,23.88,€4.70m,€18.90m,€69.30m,€1.57m,€2.10m,€8.66m,26.27,€128.90m,€4.30m,€60.83m,€18.81m,+€42.02m,€18.81m,24.7,€66.65m,€60.83m,27.0,€93.80m,Chris Wilder,55,2.86 Years,23,5,7,11,22,0.96,9,0.81,595,€420k
Brighton,38,9,13,16,34:54,-20,40,15,Brighton & Hove Albion,46,28,9,9,2.02,74:40,23.822,26.67,25.86,24.57,€26.60m,€100.70m,€127.00m,€8.87m,€14.39m,€18.14m,24.85,€448.90m,€16.63m,€137.90m,€55.73m,+€82.17m,€55.73m,21.8,€105.50m,€137.90m,23.5,€204.70m,Roberto De Zerbi,44,1.21 Years,39,19,7,13,64,1.64,7,1.1642857142857141,321,0
Huddersfield,38,9,10,19,28:58,-30,37,16,Huddersfield Town,46,25,6,15,1.76,56:58,20.376,26.75,26.08,26.10,€2.65m,€10.05m,€9.85m,€663k,€838k,€985k,25.62,€30.45m,€896k,€12.80m,€1.52m,+€11.28m,€1.52m,23.6,€24.38m,€12.80m,24.7,€33.60m,Neil Warnock,74,1.95 Years,15,7,4,4,25,1.67,19,1.1789473684210527,1066,0
Southampton,38,7,15,16,37:56,-19,36,17,Southampton FC,38,12,10,16,1.21,41:48,33.304,31.67,24.36,25.50,€16.35m,€141.00m,€124.90m,€5.45m,€12.82m,€10.41m,25.45,€393.25m,€11.92m,€5.50m,€142.15m,€-136.65m,€142.15m,23.1,€151.50m,€5.50m,26.4,€72.60m,Rubén Sellés,40,0.20 Years,18,3,4,11,13,0.72,23,0.27999999999999997,18,0
Swansea,38,8,9,21,28:56,-28,33,18,Swansea City,38,12,5,21,1.08,45:70,28.263,23.67,24.22,23.83,€1.70m,€25.40m,€18.30m,€567k,€2.82m,€3.05m,24.60,€61.40m,€2.46m,€10.65m,€2.30m,+€8.35m,€2.30m,21.8,€10.05m,€10.65m,23.8,€19.20m,Russell Martin,37,1.83 Years,49,18,13,18,67,1.37,3,0.91,179,0
