Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position,name,matches,wins,draws,losses,pts,goals,spectators,gk_oage,defense_oage,attack_oage,gk_mkt,defense_mkt,attack_mkt,gk_omkt,defense_omkt,attack_omkt,total_oage,total_mkt,total_omkt,income,expenditure,balance,arrival_sum,arrival_age,arrival_mkt,derpature_sum,derpature_age,derpature_mkt,manager_name,manager_age,manager_avarage_time,manager_matches,manager_wins,manager_draws,manager_losses,manager_points,manager_ppm,manager_teams_coached,manager_avarage_ppm,manager_total_matches,manager_total_transfer
Man Utd,38,28,5,5,86:43,43,89,1,Manchester United,38,28,5,5,2.34,89:33,54.709,31.25,25.46,22.55,€33.00m,€274.00m,€283.00m,€8.25m,€21.08m,€25.73m,25.34,€814.80m,€21.44m,€13.25m,€243.28m,€-230.03m,€243.28m,23.6,€282.60m,€13.25m,27.8,€187.75m,Erik ten Hag,53,2.14 Years,62,42,8,12,134,2.16,11,0.9181818181818183,499,0
Man City,38,23,9,6,66:34,32,78,2,Manchester City,38,28,5,5,2.34,93:29,40.616,31.00,26.67,25.40,€52.70m,€271.00m,€445.00m,€13.18m,€30.11m,€89.00m,27.08,€1.09bn,€43.43m,€162.17m,€150.50m,+€11.67m,€150.50m,22.9,€363.15m,€162.17m,24.1,€295.65m,Pep Guardiola,52,3.75 Years,61,44,10,7,142,2.33,4,1.775,821,€651k
Chelsea,38,22,9,7,75:39,36,75,3,Chelsea FC,38,18,10,10,1.68,65:46,37.900,27.25,26.27,24.70,€40.50m,€281.20m,€323.00m,€10.13m,€25.56m,€32.30m,25.67,€927.70m,€28.11m,€67.83m,€611.49m,€-543.66m,€611.49m,23.0,€551.80m,€67.83m,25.5,€391.30m,Frank Lampard,45,0.95 Years,34,5,8,21,23,0.68,5,0.966,196,€16.00m
Arsenal,38,21,10,7,72:37,35,73,4,Arsenal FC,38,21,7,10,1.84,74:49,46.737,26.50,24.67,23.43,€48.00m,€310.00m,€359.00m,€24.00m,€34.44m,€51.29m,25.07,€976.00m,€36.15m,€23.80m,€192.36m,€-168.56m,€192.36m,24.2,€367.70m,€23.80m,25.4,€195.20m,Mikel Arteta,41,3.50 Years,49,32,7,10,103,2.10,3,0.6366666666666666,179,€26.70m
Tottenham,38,21,9,8,66:46,20,72,5,Tottenham Hotspur,38,20,9,9,1.82,66:41,35.347,29.75,26.25,27.33,€5.30m,€185.00m,€269.00m,€1.33m,€23.13m,€44.83m,26.80,€617.30m,€24.69m,€38.75m,€177.90m,€-139.15m,€177.90m,24.7,€325.50m,€38.75m,24.2,€240.50m,Ryan Mason,32,0.19 Years,6,2,1,3,7,1.17,10,0.288,13,€15.40m
Everton,38,16,15,7,55:40,15,63,6,Everton FC,38,15,11,12,1.47,50:40,34.062,34.67,27.20,25.67,€22.95m,€118.00m,€80.50m,€7.65m,€11.80m,€13.42m,27.48,€334.45m,€13.38m,€103.60m,€78.20m,+€25.40m,€78.20m,25.1,€133.15m,€103.60m,27.1,€168.70m,Sean Dyche,51,3.22 Years,18,5,6,7,21,1.17,6,0.6466666666666666,492,€210k
Liverpool,38,16,13,9,71:43,28,61,7,Liverpool FC,38,14,10,14,1.37,47:40,39.820,30.00,25.90,26.83,€47.80m,€241.00m,€328.00m,€15.93m,€24.10m,€54.67m,26.80,€805.30m,€26.84m,€80.70m,€137.30m,€-56.60m,€137.30m,21.6,€165.00m,€80.70m,24.9,€130.20m,Jürgen Klopp,56,7.35 Years,52,27,11,14,92,1.77,4,1.365,1018,0
West Brom,38,14,7,17,53:57,-4,49,8,West Bromwich Albion,38,13,8,17,1.24,45:52,30.036,27.00,26.83,26.33,€2.65m,€19.70m,€22.30m,€883k,€1.64m,€3.72m,27.24,€63.45m,€2.19m,0,€1.35m,€-1.35m,€1.35m,26.1,€34.35m,0,27.6,€34.05m,Carlos Corberán,40,0.97 Years,44,21,9,14,72,1.64,18,0.3622222222222222,169,0
Swansea,38,11,13,14,47:51,-4,46,9,Swansea City,38,12,11,15,1.24,44:51,27.740,23.67,24.22,23.83,€1.70m,€25.40m,€18.30m,€567k,€2.82m,€3.05m,24.60,€61.40m,€2.46m,€10.65m,€2.30m,+€8.35m,€2.30m,21.8,€10.05m,€10.65m,23.8,€19.20m,Russell Martin,37,1.83 Years,49,18,13,18,67,1.37,3,0.91,179,0
West Ham,38,12,10,16,45:53,-8,46,10,West Ham United,46,24,14,8,1.87,81:48,25.466,34.00,28.75,27.67,€8.90m,€108.10m,€116.00m,€4.45m,€13.51m,€19.33m,28.04,€441.80m,€19.21m,€21.55m,€194.00m,€-172.45m,€194.00m,25.0,€157.00m,€21.55m,28.8,€61.75m,David Moyes,60,3.23 Years,57,27,8,22,89,1.56,8,1.2075,1051,€47k
Norwich,38,10,14,14,41:58,-17,44,11,Norwich City,38,12,11,15,1.24,52:66,30.587,30.50,25.50,25.13,€3.45m,€34.00m,€24.90m,€863k,€4.25m,€3.11m,25.70,€87.35m,€3.24m,€4.07m,€14.40m,€-10.33m,€14.40m,22.9,€44.35m,€4.07m,24.1,€79.35m,David Wagner,51,1.70 Years,21,7,5,9,26,1.24,7,1.3242857142857143,471,0
Fulham,38,11,10,17,50:60,-10,43,12,Fulham FC,38,14,10,14,1.37,48:51,29.464,28.50,28.11,27.88,€15.00m,€73.80m,€78.90m,€7.50m,€8.20m,€9.86m,27.88,€265.20m,€10.20m,€21.90m,€71.20m,€-49.30m,€71.20m,27.2,€176.40m,€21.90m,27.2,€100.40m,Marco Silva,45,1.31 Years,44,18,8,18,62,1.41,8,1.44875,419,0
Stoke City,38,9,15,14,34:45,-11,42,13,Stoke City,38,11,12,15,1.18,36:53,30.560,28.33,27.00,25.50,€850k,€12.80m,€9.90m,€283k,€1.60m,€2.48m,27.24,€33.25m,€1.58m,€17.00m,0,+€17.00m,0,24.6,€37.30m,€17.00m,25.8,€53.05m,Alex Neil,42,1.50 Years,49,16,12,21,60,1.22,7,1.4342857142857142,443,0
Southampton,38,9,14,15,49:60,-11,41,14,Southampton FC,46,26,10,10,1.91,85:46,22.402,31.67,24.36,25.50,€16.35m,€141.00m,€124.90m,€5.45m,€12.82m,€10.41m,25.45,€393.25m,€11.92m,€5.50m,€142.15m,€-136.65m,€142.15m,23.1,€151.50m,€5.50m,26.4,€72.60m,Rubén Sellés,40,0.20 Years,18,3,4,11,13,0.72,23,0.27999999999999997,18,0
Aston Villa,38,10,11,17,47:69,-22,41,15,Aston Villa,38,7,17,14,1.00,37:53,34.155,28.50,29.00,24.67,€30.50m,€132.80m,€147.80m,€7.63m,€14.76m,€16.42m,26.59,€474.10m,€16.35m,€54.00m,€100.14m,€-46.14m,€100.14m,25.7,€242.70m,€54.00m,26.1,€164.00m,Unai Emery,51,1.97 Years,44,26,7,11,85,1.93,10,1.583,853,0
Newcastle,38,11,8,19,45:68,-23,41,16,Newcastle United,38,19,8,11,1.71,56:51,42.412,31.60,27.92,26.86,€24.00m,€107.90m,€206.00m,€4.80m,€8.30m,€29.43m,27.74,€527.90m,€15.53m,€13.46m,€185.35m,€-171.89m,€185.35m,25.4,€149.20m,€13.46m,28.2,€52.20m,Eddie Howe,45,3.30 Years,46,25,14,7,89,1.93,4,1.58,617,€600k
Sunderland,38,9,12,17,41:54,-13,39,17,Sunderland AFC,38,11,12,15,1.18,45:46,36.601,24.00,24.13,23.43,€7.25m,€9.50m,€22.05m,€3.63m,€1.19m,€3.15m,24.15,€53.65m,€1.99m,0,€6.06m,€-6.06m,€6.06m,21.8,€38.48m,0,25.1,€28.90m,Tony Mowbray,59,2.06 Years,45,18,14,13,68,1.51,10,1.1400000000000001,822,€1.15m
Wigan,38,9,9,20,47:73,-26,36,18,Wigan Athletic,38,11,10,17,1.13,42:62,26.782,33.50,27.67,27.57,€450k,€5.75m,€3.95m,€225k,€639k,€564k,28.04,€15.10m,€559k,0,0,+-0,0,24.6,€13.95m,0,24.7,€9.15m,Shaun Maloney,40,0.36 Years,18,4,8,6,20,1.11,7,0.3385714285714286,37,€8.32m
Reading,38,6,10,22,43:73,-30,28,19,Reading FC,46,27,8,11,1.93,69:41,18.424,28.50,26.22,28.88,€750k,€11.00m,€5.70m,€375k,€1.22m,€713k,26.96,€22.65m,€944k,0,0,+-0,0,25.5,€23.50m,0,25.7,€31.20m,Noel Hunt,40,0.45 Years,5,0,3,2,3,0.60,7,0.5,12,€1.13m
QPR,38,4,13,21,30:60,-30,25,20,Queens Park Rangers,38,10,7,21,0.97,43:66,26.198,26.33,26.43,26.38,€1.55m,€12.70m,€7.90m,€517k,€1.81m,€988k,26.16,€38.45m,€1.54m,€900k,0,+€900k,0,23.7,€24.80m,€900k,25.4,€24.15m,Gareth Ainsworth,50,2.08 Years,50,22,7,21,73,1.46,10,0.696,571,€3.79m
