Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position,name,matches,wins,draws,losses,pts,goals,spectators,gk_oage,defense_oage,attack_oage,gk_mkt,defense_mkt,attack_mkt,gk_omkt,defense_omkt,attack_omkt,total_oage,total_mkt,total_omkt,income,expenditure,balance,arrival_sum,arrival_age,arrival_mkt,derpature_sum,derpature_age,derpature_mkt,manager_name,manager_age,manager_avarage_time,manager_matches,manager_wins,manager_draws,manager_losses,manager_points,manager_ppm,manager_teams_coached,manager_avarage_ppm,manager_total_matches,manager_total_transfer
Liverpool,38,32,3,3,85:33,52,99,1,Liverpool FC,38,30,7,1,2.55,89:22,46.187,30.00,25.90,26.83,€47.80m,€241.00m,€328.00m,€15.93m,€24.10m,€54.67m,26.80,€805.30m,€26.84m,€80.70m,€137.30m,€-56.60m,€137.30m,21.6,€165.00m,€80.70m,24.9,€130.20m,Jürgen Klopp,56,7.35 Years,52,27,11,14,92,1.77,4,1.365,1018,0
Man City,38,26,3,9,102:35,67,81,2,Manchester City,38,32,2,4,2.58,95:23,45.914,31.00,26.67,25.40,€52.70m,€271.00m,€445.00m,€13.18m,€30.11m,€89.00m,27.08,€1.09bn,€43.43m,€162.17m,€150.50m,+€11.67m,€150.50m,22.9,€363.15m,€162.17m,24.1,€295.65m,Pep Guardiola,52,3.75 Years,61,44,10,7,142,2.33,4,1.775,821,€651k
Man Utd,38,18,12,8,66:36,30,66,3,Manchester United,38,19,9,10,1.74,65:54,56.241,31.25,25.46,22.55,€33.00m,€274.00m,€283.00m,€8.25m,€21.08m,€25.73m,25.34,€814.80m,€21.44m,€13.25m,€243.28m,€-230.03m,€243.28m,23.6,€282.60m,€13.25m,27.8,€187.75m,Erik ten Hag,53,2.14 Years,62,42,8,12,134,2.16,11,0.9181818181818183,499,0
Chelsea,38,20,6,12,69:54,15,66,4,Chelsea FC,38,21,9,8,1.89,63:39,39.337,27.25,26.27,24.70,€40.50m,€281.20m,€323.00m,€10.13m,€25.56m,€32.30m,25.67,€927.70m,€28.11m,€67.83m,€611.49m,€-543.66m,€611.49m,23.0,€551.80m,€67.83m,25.5,€391.30m,Frank Lampard,45,0.95 Years,34,5,8,21,23,0.68,5,0.966,196,€16.00m
Leicester,38,18,8,12,67:41,26,62,5,Leicester City,38,15,7,16,1.37,51:48,34.948,29.33,27.08,26.33,€11.50m,€147.80m,€99.30m,€3.83m,€12.32m,€16.55m,27.17,€429.10m,€14.30m,€81.40m,€48.00m,+€33.40m,€48.00m,25.5,€67.40m,€81.40m,27.7,€67.85m,Dean Smith,52,2.44 Years,34,13,8,13,47,1.38,6,1.0666666666666667,605,€137k
Tottenham,38,16,11,11,61:47,14,59,6,Tottenham Hotspur,38,23,2,13,1.87,67:39,45.931,29.75,26.25,27.33,€5.30m,€185.00m,€269.00m,€1.33m,€23.13m,€44.83m,26.80,€617.30m,€24.69m,€38.75m,€177.90m,€-139.15m,€177.90m,24.7,€325.50m,€38.75m,24.2,€240.50m,Ryan Mason,32,0.19 Years,6,2,1,3,7,1.17,10,0.288,13,€15.40m
Wolves,38,15,14,9,51:40,11,59,7,Wolverhampton Wanderers,38,16,9,13,1.50,47:46,34.592,26.25,25.11,27.30,€22.20m,€119.50m,€134.00m,€5.55m,€13.28m,€13.40m,25.90,€400.20m,€12.91m,€62.87m,€177.11m,€-114.24m,€177.11m,23.8,€260.10m,€62.87m,24.5,€207.40m,Julen Lopetegui,56,1.73 Years,37,11,8,18,41,1.11,13,1.4307692307692308,394,0
Arsenal,38,14,14,10,56:48,8,56,8,Arsenal FC,38,21,7,10,1.84,73:51,49.412,26.50,24.67,23.43,€48.00m,€310.00m,€359.00m,€24.00m,€34.44m,€51.29m,25.07,€976.00m,€36.15m,€23.80m,€192.36m,€-168.56m,€192.36m,24.2,€367.70m,€23.80m,25.4,€195.20m,Mikel Arteta,41,3.50 Years,49,32,7,10,103,2.10,3,0.6366666666666666,179,€26.70m
Sheff Utd,38,14,12,12,39:39,0,54,9,Sheffield United,46,26,11,9,1.93,78:41,23.431,27.25,27.36,24.67,€1.55m,€42.35m,€28.55m,€388k,€3.85m,€4.76m,26.77,€97.45m,€3.75m,0,€4.50m,€-4.50m,€4.50m,22.3,€24.13m,0,24.7,€32.85m,Paul Heckingbottom,45,1.04 Years,53,32,8,13,104,1.96,6,1.0783333333333334,247,0
Burnley,38,15,9,14,43:50,-7,54,10,Burnley FC,38,11,7,20,1.05,45:68,29.307,24.75,25.11,26.25,€13.60m,€48.40m,€33.70m,€3.40m,€5.38m,€4.21m,25.81,€132.30m,€5.09m,€76.46m,€43.20m,+€33.26m,€43.20m,22.6,€70.73m,€76.46m,26.8,€165.35m,Vincent Kompany,37,1.42 Years,54,34,15,5,117,2.17,3,1.6900000000000002,149,€19.00m
Southampton,38,15,7,16,51:60,-9,52,11,Southampton FC,38,9,12,17,1.03,45:65,33.739,31.67,24.36,25.50,€16.35m,€141.00m,€124.90m,€5.45m,€12.82m,€10.41m,25.45,€393.25m,€11.92m,€5.50m,€142.15m,€-136.65m,€142.15m,23.1,€151.50m,€5.50m,26.4,€72.60m,Rubén Sellés,40,0.20 Years,18,3,4,11,13,0.72,23,0.27999999999999997,18,0
